league,season,team,player,nationality,position,age,birth_year,matches_played,starts,minutes,nineties,goals,assists,goals_assists,goals_non_penalty,penalties_made,penalties_attempted,yellow_cards,red_cards,expected_goals,expected_goals_non_penalty,expected_assists,expected_goals_assists_non_penalty,progressive_carries,progressive_passes,progressive_receives,goals_per_90,assists_per_90,goals_assists_per_90,goals_non_penalty_per_90,goals_assists_non_penalty_per_90,expected_goals_per_90,expected_assists_per_90,expected_goals_assists_per_90,expected_goals_non_penalty_per_90,expected_goals_assists_non_penalty_per_90
ENG-Premier League,2425,Aston Villa,Emi Buendía,ARG,Midfielder/Forward,27.0,1996.0,12,0,98,1.1,0,0,0,0,0,0,1,0,0.7,0.7,0.0,0.7,3,7,6,0.0,0.0,0.0,0.0,0.0,0.6,0.02,0.62,0.6,0.62
ENG-Premier League,2425,Aston Villa,Emiliano Martínez,ARG,Goalkeeper,31.0,1992.0,37,37,3194,35.5,0,0,0,0,0,0,5,1,0.0,0.0,0.5,0.5,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02
ENG-Premier League,2425,Aston Villa,Ezri Konsa,ENG,Defender,26.0,1997.0,34,33,2936,32.6,2,0,2,2,0,0,1,0,1.3,1.3,0.4,1.7,24,90,11,0.06,0.0,0.06,0.06,0.06,0.04,0.01,0.05,0.04,0.05
ENG-Premier League,2425,Aston Villa,Ian Maatsen,NED,Defender,22.0,2002.0,29,10,1139,12.7,1,2,3,1,0,0,2,0,0.9,0.9,2.7,3.6,31,50,104,0.08,0.16,0.24,0.08,0.24,0.07,0.22,0.28,0.07,0.28
ENG-Premier League,2425,Aston Villa,Jacob Ramsey,ENG,Forward/Midfielder,23.0,2001.0,29,19,1623,18.0,1,3,4,1,0,0,4,1,1.6,1.6,2.3,3.9,61,68,114,0.06,0.17,0.22,0.06,0.22,0.09,0.13,0.22,0.09,0.22
ENG-Premier League,2425,Aston Villa,Jaden Philogene Bidace,ENG,Forward/Midfielder,22.0,2002.0,11,2,332,3.7,0,0,0,0,0,0,4,1,0.5,0.5,0.3,0.8,7,4,17,0.0,0.0,0.0,0.0,0.0,0.13,0.08,0.2,0.13,0.2
ENG-Premier League,2425,Aston Villa,John McGinn,SCO,Midfielder/Forward,29.0,1994.0,34,27,2223,24.7,1,4,5,1,0,0,7,0,3.1,2.8,3.5,6.3,32,103,87,0.04,0.16,0.2,0.04,0.2,0.13,0.14,0.27,0.11,0.26
ENG-Premier League,2425,Aston Villa,Jáder Durán,COL,Forward,20.0,2003.0,20,4,638,7.1,7,0,7,7,0,0,3,1,4.9,4.9,0.2,5.1,7,13,44,0.99,0.0,0.99,0.99,0.99,0.69,0.03,0.71,0.69,0.71
ENG-Premier League,2425,Aston Villa,Kosta Nedeljković,SRB,Defender,18.0,2005.0,5,0,126,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Aston Villa,Lamare Bogarde,NED,Defender/Midfielder,20.0,2004.0,8,5,476,5.3,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.2,12,14,9,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03
