league,season,team,player,nationality,position,age,birth_year,90s,goals,shots,shots_on_target,shot_accuracy,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,free_kick_shots,penalty_kicks_made,penalty_kicks_attempted,expected_goals,expected_goals_non_penalty,expected_goals_per_shot_non_penalty,goals_minus_expected,non_penalty_goals_minus_expected
ENG-Premier League,2425,Bournemouth,Max Aarons,,,24.0,2000.0,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,Bournemouth,Milos Kerkez,,,20.0,2003.0,37.1,2,19,5,26.3,0.51,0.13,0.11,0.4,20.2,0,0,0,0.6,0.5,0.03,1.4,1.5
ENG-Premier League,2425,Bournemouth,Neto,,,35.0,1989.0,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,Bournemouth,Philip Billing,,,28.0,1996.0,2.0,0,5,1,20.0,2.45,0.49,0.0,0.0,17.9,0,0,0,0.6,0.6,0.11,-0.6,-0.6
ENG-Premier League,2425,Bournemouth,Remy Rees-Dottin,,,18.0,2006.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,Bournemouth,Ryan Christie,,,29.0,1995.0,23.5,2,33,12,36.4,1.4,0.51,0.06,0.17,19.6,0,0,0,1.8,1.8,0.06,0.2,0.2
ENG-Premier League,2425,Bournemouth,Tyler Adams,,,25.0,1999.0,21.8,0,9,2,22.2,0.41,0.09,0.0,0.0,16.9,0,0,0,1.6,1.6,0.18,-1.6,-1.6
ENG-Premier League,2425,Bournemouth,Zain Silcott-Duberry,,,19.0,2005.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,Brentford,Ben Mee,,,34.0,1989.0,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,Brentford,Bryan Mbeumo,,,24.0,1999.0,37.9,20,79,34,43.0,2.08,0.9,0.19,0.44,17.9,6,5,6,12.3,7.5,0.1,7.7,7.5
ENG-Premier League,2425,Brentford,Christian Nørgaard,,,30.0,1994.0,31.3,5,39,15,38.5,1.25,0.48,0.13,0.33,14.3,0,0,0,4.3,4.3,0.11,0.7,0.7
ENG-Premier League,2425,Brentford,Edmond-Paris Maghoma,,,23.0,2001.0,1.3,0,1,0,0.0,0.76,0.0,0.0,,23.8,0,0,0,0.1,0.1,0.12,-0.1,-0.1
ENG-Premier League,2425,Brentford,Ethan Pinnock,,,31.0,1993.0,21.3,2,10,6,60.0,0.47,0.28,0.2,0.33,11.1,0,0,0,1.1,1.1,0.11,0.9,0.9
ENG-Premier League,2425,Brentford,Fabio Carvalho,,,21.0,2002.0,5.1,2,12,5,41.7,2.37,0.99,0.17,0.4,14.7,0,0,0,2.5,2.5,0.21,-0.5,-0.5
ENG-Premier League,2425,Brentford,Frank Onyeka,,,26.0,1998.0,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,Brentford,Gustavo Nunes,,,18.0,2005.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,Brentford,Hákon Rafn Valdimarsson,,,22.0,2001.0,1.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,Brentford,Jayden Meghoma,,,18.0,2006.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,Brentford,Keane Lewis-Potter,,,23.0,2001.0,34.4,1,28,14,50.0,0.81,0.41,0.04,0.07,20.2,1,0,0,3.1,3.1,0.11,-2.1,-2.1
ENG-Premier League,2425,Brentford,Kevin Schade,,,22.0,2001.0,25.5,11,55,27,49.1,2.16,1.06,0.2,0.41,11.5,0,0,0,8.2,8.2,0.15,2.8,2.8
