league,season,team,player,nationality,position,age,birth_year,matches_played,starts,minutes,nineties,goals,assists,goals_assists,goals_non_penalty,penalties_made,penalties_attempted,yellow_cards,red_cards,expected_goals,expected_goals_non_penalty,expected_assists,expected_goals_assists_non_penalty,progressive_carries,progressive_passes,progressive_receives,goals_per_90,assists_per_90,goals_assists_per_90,goals_non_penalty_per_90,goals_assists_non_penalty_per_90,expected_goals_per_90,expected_assists_per_90,expected_goals_assists_per_90,expected_goals_non_penalty_per_90,expected_goals_assists_non_penalty_per_90,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,carries_carries,carries_totdist,carries_prgdist,tackles,tackles_won,tackles_def_third,tackles_mid_third,tackles_att_third
ESP-La Liga,2425,Villarreal,Ilias Akhomach,MAR,Midfielder/Forward,20.0,2004.0,11,7,584,6.5,1,0,1,1,0,0,1,0,0.6,0.6,1.0,1.6,30,12,64,0.15,0.0,0.15,0.15,0.15,0.09,0.15,0.23,0.09,0.23,293.0,8.0,44.0,89.0,163.0,29.0,293.0,200.0,1310.0,759.0,12.0,7.0,4.0,4.0,4.0
ESP-La Liga,2425,Villarreal,Juan Bernat,ESP,Defender/Midfielder,31.0,1993.0,10,1,212,2.4,0,1,1,0,0,0,0,0,0.3,0.3,0.4,0.7,4,8,23,0.0,0.42,0.42,0.0,0.42,0.12,0.17,0.29,0.12,0.29,160.0,10.0,42.0,63.0,56.0,13.0,160.0,83.0,347.0,168.0,9.0,7.0,7.0,1.0,1.0
ESP-La Liga,2425,Villarreal,Juan Foyth,ARG,Defender,26.0,1998.0,19,17,1517,16.9,1,0,1,1,0,0,4,0,2.4,2.4,0.3,2.8,13,65,11,0.06,0.0,0.06,0.06,0.06,0.14,0.02,0.16,0.14,0.16,1190.0,199.0,631.0,460.0,111.0,21.0,1190.0,607.0,3416.0,2328.0,25.0,15.0,15.0,6.0,4.0
ESP-La Liga,2425,Villarreal,Karl Etta,CMR,Midfielder/Forward,20.0,2003.0,4,0,37,0.4,1,0,1,1,0,0,0,0,0.4,0.4,0.0,0.4,0,0,0,2.43,0.0,2.43,2.43,2.43,0.88,0.0,0.88,0.88,0.88,9.0,0.0,1.0,2.0,6.0,1.0,9.0,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2425,Villarreal,Kiko Femenía,ESP,Defender,33.0,1991.0,28,27,2227,24.7,0,1,1,0,0,0,7,0,0.4,0.4,1.3,1.7,52,112,44,0.0,0.04,0.04,0.0,0.04,0.01,0.05,0.07,0.01,0.07,1710.0,95.0,630.0,812.0,280.0,9.0,1710.0,902.0,4937.0,2602.0,50.0,34.0,34.0,14.0,2.0
ESP-La Liga,2425,Villarreal,Logan Costa,CPV,Defender,23.0,2001.0,32,28,2587,28.7,2,1,3,2,0,0,3,0,0.7,0.7,0.6,1.3,25,116,10,0.07,0.03,0.1,0.07,0.1,0.02,0.02,0.05,0.02,0.05,1785.0,295.0,965.0,758.0,69.0,12.0,1785.0,1037.0,5478.0,2994.0,38.0,21.0,25.0,12.0,1.0
ESP-La Liga,2425,Villarreal,Luiz Lúcio Reis Júnior,BRA,Goalkeeper,23.0,2001.0,17,16,1458,16.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,542.0,472.0,535.0,7.0,0.0,0.0,542.0,284.0,1530.0,993.0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2425,Villarreal,Nicolas Pépé,CIV,Forward/Midfielder,29.0,1995.0,28,15,1500,16.7,3,6,9,3,0,0,3,0,3.8,3.8,4.8,8.6,76,60,159,0.18,0.36,0.54,0.18,0.54,0.23,0.29,0.52,0.23,0.52,842.0,20.0,112.0,266.0,477.0,89.0,842.0,518.0,3665.0,1976.0,22.0,9.0,12.0,6.0,4.0
ESP-La Liga,2425,Villarreal,Pape Gueye,SEN,Midfielder,25.0,1999.0,34,26,2224,24.7,4,0,4,4,0,0,6,2,3.4,3.4,1.1,4.5,36,156,69,0.16,0.0,0.16,0.16,0.16,0.14,0.04,0.18,0.14,0.18,1456.0,72.0,355.0,807.0,308.0,65.0,1456.0,853.0,4050.0,2199.0,54.0,26.0,23.0,23.0,8.0
ESP-La Liga,2425,Villarreal,Pau Cabanes,ESP,Midfielder/Forward,19.0,2005.0,10,0,163,1.8,1,0,1,1,0,0,0,0,0.5,0.5,0.4,0.9,10,11,33,0.55,0.0,0.55,0.55,0.55,0.26,0.22,0.47,0.26,0.47,122.0,2.0,17.0,35.0,71.0,11.0,122.0,74.0,467.0,245.0,4.0,4.0,0.0,3.0,1.0
ESP-La Liga,2425,Villarreal,Pau Navarro,ESP,Defender,19.0,2005.0,17,8,916,10.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,40,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,668.0,51.0,283.0,323.0,66.0,2.0,668.0,322.0,1190.0,568.0,23.0,17.0,15.0,6.0,2.0
ESP-La Liga,2425,Villarreal,Ramón Terrats,ESP,Midfielder/Forward,23.0,2000.0,11,1,131,1.5,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.3,1,7,3,0.0,0.0,0.0,0.0,0.0,0.04,0.19,0.22,0.04,0.22,106.0,8.0,25.0,54.0,27.0,2.0,106.0,64.0,194.0,69.0,3.0,3.0,1.0,2.0,0.0
ESP-La Liga,2425,Villarreal,Raúl Albiol,ESP,Defender,38.0,1985.0,15,14,1188,13.2,0,0,0,0,0,0,5,0,0.1,0.1,0.0,0.1,3,34,0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,915.0,157.0,533.0,369.0,14.0,3.0,915.0,514.0,2346.0,1226.0,10.0,9.0,9.0,1.0,0.0
ESP-La Liga,2425,Villarreal,Santi Comesaña,ESP,Midfielder,27.0,1996.0,35,30,2560,28.4,4,2,6,4,0,0,7,0,4.6,4.6,2.0,6.6,39,154,58,0.14,0.07,0.21,0.14,0.21,0.16,0.07,0.23,0.16,0.23,1734.0,110.0,453.0,958.0,333.0,64.0,1734.0,903.0,4242.0,2451.0,85.0,49.0,44.0,32.0,9.0
ESP-La Liga,2425,Villarreal,Sergi Cardona,ESP,Defender,25.0,1999.0,35,34,2945,32.7,1,7,8,1,0,0,11,0,2.4,2.4,5.8,8.2,52,77,198,0.03,0.21,0.24,0.03,0.24,0.07,0.18,0.25,0.07,0.25,1842.0,131.0,711.0,632.0,506.0,63.0,1842.0,813.0,3721.0,2057.0,71.0,48.0,44.0,20.0,7.0
ESP-La Liga,2425,Villarreal,Tajon Buchanan,CAN,Midfielder,25.0,1999.0,13,4,416,4.6,1,2,3,1,0,0,2,0,0.9,0.9,0.5,1.4,19,5,45,0.22,0.43,0.65,0.22,0.65,0.19,0.12,0.31,0.19,0.31,223.0,2.0,41.0,69.0,119.0,25.0,223.0,133.0,973.0,499.0,10.0,5.0,6.0,4.0,0.0
ESP-La Liga,2425,Villarreal,Thiago Ojeda,ARG,Midfielder,21.0,2003.0,1,0,8,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2,0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,11.0,1.0,2.0,5.0,4.0,0.0,11.0,5.0,42.0,34.0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2425,Villarreal,Thierno Barry,FRA,Forward,21.0,2002.0,35,25,2323,25.8,11,4,15,10,1,1,4,0,12.5,11.7,2.9,14.6,44,27,124,0.43,0.15,0.58,0.39,0.54,0.48,0.11,0.6,0.45,0.57,624.0,22.0,44.0,246.0,346.0,126.0,623.0,347.0,2237.0,1041.0,11.0,8.0,2.0,5.0,4.0
ESP-La Liga,2425,Villarreal,Willy Kambwala,FRA,Defender,19.0,2004.0,19,12,1117,12.4,0,0,0,0,0,0,1,1,0.3,0.3,0.1,0.5,2,16,0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,706.0,118.0,431.0,262.0,17.0,6.0,706.0,367.0,1707.0,846.0,17.0,12.0,14.0,2.0,1.0
ESP-La Liga,2425,Villarreal,Yeremi Pino,ESP,Midfielder/Forward,21.0,2002.0,34,25,1934,21.5,4,7,11,4,0,0,11,0,3.9,3.9,5.3,9.2,42,66,213,0.19,0.33,0.51,0.19,0.51,0.18,0.25,0.43,0.18,0.43,986.0,30.0,169.0,356.0,477.0,104.0,986.0,565.0,2781.0,1416.0,60.0,32.0,20.0,32.0,8.0
FRA-Ligue 1,2425,Angers,Abdoulaye Bamba,CIV,Defender,34.0,1990.0,19,16,1510,16.8,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.4,1,16,3,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.01,0.02,743.0,90.0,411.0,308.0,26.0,3.0,743.0,408.0,1532.0,641.0,22.0,12.0,17.0,4.0,1.0
FRA-Ligue 1,2425,Angers,Bamba Dieng,SEN,Forward,24.0,2000.0,18,5,532,5.9,3,0,3,2,1,1,1,0,3.1,2.3,0.0,2.4,6,7,35,0.51,0.0,0.51,0.34,0.34,0.53,0.01,0.53,0.39,0.4,157.0,3.0,14.0,58.0,86.0,24.0,156.0,96.0,419.0,194.0,4.0,1.0,1.0,2.0,1.0
FRA-Ligue 1,2425,Angers,Carlens Arcus,HAI,Defender,28.0,1996.0,28,25,2047,22.7,0,1,1,0,0,0,3,0,0.0,0.0,1.4,1.4,39,70,79,0.0,0.04,0.04,0.0,0.04,0.0,0.06,0.06,0.0,0.06,1249.0,85.0,433.0,556.0,271.0,11.0,1249.0,566.0,2635.0,1284.0,52.0,35.0,32.0,15.0,5.0
FRA-Ligue 1,2425,Angers,Cédric Hountondji,BEN,Defender,30.0,1994.0,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,20.0,65.0,58.0,4.0,1.0,127.0,48.0,201.0,63.0,6.0,4.0,4.0,2.0,0.0
FRA-Ligue 1,2425,Angers,Emmanuel Biumla,FRA,Defender,19.0,2005.0,17,15,1336,14.8,1,0,1,1,0,0,2,0,0.7,0.7,0.0,0.8,3,16,0,0.07,0.0,0.07,0.07,0.07,0.05,0.0,0.05,0.05,0.05,654.0,118.0,402.0,240.0,16.0,8.0,654.0,380.0,2264.0,1290.0,19.0,12.0,14.0,5.0,0.0
FRA-Ligue 1,2425,Angers,Enzo Caumont,FRA,Midfielder,20.0,2004.0,2,0,34,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,7.0,6.0,7.0,0.0,20.0,10.0,35.0,24.0,1.0,1.0,0.0,1.0,0.0
FRA-Ligue 1,2425,Angers,Esteban Lepaul,FRA,Forward,24.0,2000.0,28,18,1629,18.1,9,0,9,9,0,0,2,0,5.1,5.1,0.8,6.0,26,20,68,0.5,0.0,0.5,0.5,0.5,0.28,0.05,0.33,0.28,0.33,504.0,14.0,50.0,264.0,197.0,60.0,504.0,246.0,1412.0,621.0,11.0,6.0,2.0,6.0,3.0
FRA-Ligue 1,2425,Angers,Farid El Melali,ALG,Forward,27.0,1997.0,32,22,1893,21.0,2,3,5,2,0,0,1,0,3.6,3.6,3.1,6.7,62,43,113,0.1,0.14,0.24,0.1,0.24,0.17,0.15,0.32,0.17,0.32,842.0,11.0,142.0,287.0,441.0,70.0,842.0,472.0,3930.0,1752.0,28.0,16.0,15.0,6.0,7.0
FRA-Ligue 1,2425,Angers,Florent Hanin,ALG,Defender,34.0,1990.0,33,31,2672,29.7,1,2,3,1,0,0,2,0,0.9,0.9,1.9,2.8,48,99,108,0.03,0.07,0.1,0.03,0.1,0.03,0.06,0.1,0.03,0.1,1965.0,115.0,697.0,837.0,448.0,18.0,1965.0,904.0,4170.0,2309.0,69.0,48.0,45.0,17.0,7.0
FRA-Ligue 1,2425,Angers,Haris Belkebla,ALG,Midfielder,30.0,1994.0,22,21,1792,19.9,0,1,1,0,0,0,1,0,0.1,0.1,0.9,1.0,8,69,15,0.0,0.05,0.05,0.0,0.05,0.0,0.05,0.05,0.0,0.05,1064.0,67.0,332.0,630.0,115.0,6.0,1064.0,558.0,2613.0,1056.0,56.0,38.0,38.0,15.0,3.0
FRA-Ligue 1,2425,Angers,Himad Abdelli,ALG,Midfielder/Forward,24.0,1999.0,32,32,2842,31.6,6,1,7,3,3,4,4,0,6.4,3.2,3.2,6.4,107,207,111,0.19,0.03,0.22,0.1,0.13,0.2,0.1,0.3,0.1,0.2,1993.0,38.0,293.0,1149.0,597.0,49.0,1989.0,1183.0,7595.0,4388.0,48.0,32.0,13.0,20.0,15.0
FRA-Ligue 1,2425,Angers,Ibrahima Niane,SEN,Forward,25.0,1999.0,24,8,943,10.5,3,1,4,2,1,1,0,0,5.7,4.9,1.0,6.0,19,9,50,0.29,0.1,0.38,0.19,0.29,0.55,0.1,0.64,0.47,0.57,312.0,8.0,27.0,146.0,145.0,50.0,311.0,182.0,934.0,424.0,7.0,3.0,3.0,2.0,2.0
FRA-Ligue 1,2425,Angers,Jacques Ekomie,GAB,Defender/Forward,20.0,2003.0,18,7,697,7.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,13,20,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.0,18.0,99.0,128.0,134.0,7.0,358.0,135.0,751.0,375.0,22.0,14.0,9.0,10.0,3.0
FRA-Ligue 1,2425,Angers,Jean-Eudes Aholou,CIV,Midfielder,30.0,1994.0,26,26,1959,21.8,2,0,2,2,0,0,7,0,1.8,1.8,1.0,2.8,15,68,16,0.09,0.0,0.09,0.09,0.09,0.08,0.05,0.13,0.08,0.13,1032.0,45.0,259.0,615.0,167.0,34.0,1032.0,495.0,2116.0,987.0,56.0,36.0,26.0,20.0,10.0
FRA-Ligue 1,2425,Angers,Jim Allevinah,GAB,Forward,29.0,1995.0,28,23,1750,19.4,1,3,4,1,0,0,3,0,4.2,4.2,2.5,6.7,57,48,99,0.05,0.15,0.21,0.05,0.21,0.22,0.13,0.35,0.22,0.35,682.0,11.0,134.0,311.0,253.0,65.0,682.0,435.0,3164.0,1395.0,19.0,11.0,6.0,9.0,4.0
FRA-Ligue 1,2425,Angers,Jordan Lefort,FRA,Defender,30.0,1993.0,34,34,3060,34.0,0,1,1,0,0,0,3,0,0.6,0.6,1.1,1.6,6,89,13,0.0,0.03,0.03,0.0,0.03,0.02,0.03,0.05,0.02,0.05,2144.0,335.0,1304.0,765.0,87.0,19.0,2144.0,1196.0,6463.0,4191.0,52.0,30.0,42.0,9.0,1.0
FRA-Ligue 1,2425,Angers,Justin-Noël Kalumba,FRA,Forward/Midfielder,19.0,2004.0,2,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,3,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,18.0,0.0,2.0,5.0,11.0,1.0,18.0,13.0,88.0,31.0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2425,Angers,Lanroy Machine,FRA,Forward,18.0,2005.0,2,0,8,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.62,0.62,0.62,7.0,0.0,1.0,3.0,4.0,1.0,7.0,4.0,23.0,19.0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2425,Angers,Lilian Raolisoa,FRA,Defender/Forward,24.0,2000.0,29,14,1318,14.6,0,3,3,0,0,0,1,2,0.7,0.7,2.0,2.7,33,47,62,0.0,0.2,0.2,0.0,0.2,0.05,0.13,0.18,0.05,0.18,751.0,47.0,228.0,281.0,259.0,19.0,751.0,404.0,2393.0,1246.0,41.0,24.0,24.0,13.0,4.0
FRA-Ligue 1,2425,Angers,Lois Diony,FRA,Forward,31.0,1992.0,1,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,5.0,2.0,6.0,4.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2425,Angers,Marius Courcoul,FRA,Midfielder/Defender,17.0,2007.0,8,3,309,3.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,5,7,7,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,191.0,10.0,59.0,100.0,34.0,1.0,191.0,90.0,462.0,191.0,5.0,2.0,3.0,2.0,0.0
FRA-Ligue 1,2425,Angers,Melvin Zinga,FRA,Goalkeeper,22.0,2002.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,30.0,35.0,0.0,0.0,0.0,35.0,16.0,108.0,61.0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2425,Angers,Ousmane Camara,FRA,Defender,21.0,2003.0,3,3,252,2.8,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,3,0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,126.0,23.0,81.0,43.0,2.0,2.0,126.0,70.0,335.0,196.0,4.0,3.0,3.0,1.0,0.0
FRA-Ligue 1,2425,Angers,Pierrick Capelle,FRA,Midfielder,37.0,1987.0,16,3,483,5.4,0,0,0,0,0,0,4,0,0.2,0.2,1.2,1.4,10,22,17,0.0,0.0,0.0,0.0,0.0,0.04,0.22,0.26,0.04,0.26,299.0,6.0,47.0,186.0,73.0,7.0,299.0,138.0,747.0,331.0,24.0,17.0,10.0,9.0,5.0
FRA-Ligue 1,2425,Angers,Prosper Peter,NGA,Midfielder/Forward,16.0,2007.0,2,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,1.0,0.0,4.0,2.0,6.0,1.0,2.0,1.0,0.0,2.0,0.0
FRA-Ligue 1,2425,Angers,Sidiki Cherif,FRA,Forward,17.0,2006.0,7,3,324,3.6,0,0,0,0,0,0,0,0,0.7,0.7,0.2,0.9,8,3,16,0.0,0.0,0.0,0.0,0.0,0.2,0.05,0.25,0.2,0.25,107.0,1.0,7.0,50.0,51.0,12.0,107.0,71.0,404.0,183.0,5.0,5.0,1.0,3.0,1.0
FRA-Ligue 1,2425,Angers,Yahia Fofana,CIV,Goalkeeper,23.0,2000.0,33,33,2970,33.0,0,0,0,0,0,0,4,0,0.0,0.0,0.1,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1110.0,981.0,1104.0,6.0,0.0,0.0,1110.0,555.0,3389.0,2288.0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2425,Angers,Yassin Belkhdim,FRA,Midfielder,22.0,2002.0,29,16,1523,16.9,1,1,2,1,0,0,4,0,0.8,0.8,0.6,1.4,17,37,31,0.06,0.06,0.12,0.06,0.12,0.05,0.04,0.08,0.05,0.08,702.0,46.0,236.0,347.0,130.0,18.0,702.0,343.0,1717.0,728.0,53.0,27.0,26.0,21.0,6.0
FRA-Ligue 1,2425,Angers,Zinedine Ferhat,ALG,Forward/Midfielder,31.0,1993.0,24,8,849,9.4,2,0,2,2,0,0,1,0,1.4,1.4,2.4,3.7,16,40,64,0.21,0.0,0.21,0.21,0.21,0.14,0.25,0.4,0.14,0.4,550.0,11.0,67.0,257.0,231.0,19.0,550.0,292.0,1453.0,553.0,9.0,7.0,1.0,5.0,3.0
FRA-Ligue 1,2425,Angers,Zinédine Ould Khaled,FRA,Midfielder,24.0,2000.0,10,4,343,3.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,11,5,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,167.0,11.0,58.0,92.0,18.0,5.0,167.0,82.0,381.0,129.0,9.0,7.0,5.0,3.0,1.0
FRA-Ligue 1,2425,Auxerre,Ado Onaiwu,JPN,Midfielder/Forward,28.0,1995.0,31,9,957,10.6,4,1,5,4,0,0,1,1,4.0,4.0,1.1,5.1,17,33,74,0.38,0.09,0.47,0.38,0.47,0.37,0.1,0.47,0.37,0.47,458.0,9.0,51.0,223.0,193.0,30.0,458.0,268.0,1363.0,687.0,11.0,7.0,2.0,6.0,3.0
FRA-Ligue 1,2425,Auxerre,Aristide Zossou,CIV,Midfielder,19.0,2005.0,3,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,1.0,8.0,12.0,0.0,21.0,14.0,92.0,29.0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2425,Auxerre,Assane Dioussé,SEN,Midfielder,26.0,1997.0,17,7,663,7.4,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,1,33,6,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,431.0,19.0,115.0,271.0,52.0,4.0,431.0,276.0,1190.0,400.0,15.0,7.0,9.0,5.0,1.0
FRA-Ligue 1,2425,Auxerre,Ben Viadere,FRA,Midfielder,18.0,2005.0,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.85,0.0,0.85,7.0,0.0,1.0,1.0,6.0,0.0,7.0,4.0,22.0,17.0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2425,Auxerre,Clément Akpa,CIV,Defender,22.0,2001.0,31,29,2486,27.6,0,1,1,0,0,0,7,0,0.3,0.3,0.9,1.2,27,74,24,0.0,0.04,0.04,0.0,0.04,0.01,0.03,0.04,0.01,0.04,1532.0,171.0,797.0,636.0,117.0,10.0,1532.0,895.0,4510.0,2340.0,55.0,34.0,36.0,12.0,7.0
FRA-Ligue 1,2425,Auxerre,Donovan Léon,GUF,Goalkeeper,31.0,1992.0,32,32,2880,32.0,0,2,2,0,0,0,4,0,0.0,0.0,0.4,0.4,0,1,0,0.0,0.06,0.06,0.0,0.06,0.0,0.01,0.01,0.0,0.01,1231.0,1033.0,1225.0,5.0,1.0,0.0,1231.0,708.0,3787.0,2184.0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2425,Auxerre,Elisha Owusu,GHA,Midfielder,26.0,1997.0,28,28,2344,26.0,1,3,4,1,0,0,7,0,0.4,0.4,1.0,1.4,8,78,33,0.04,0.12,0.15,0.04,0.15,0.01,0.04,0.05,0.01,0.05,1097.0,46.0,300.0,670.0,140.0,5.0,1097.0,521.0,1958.0,698.0,73.0,41.0,29.0,39.0,5.0
FRA-Ligue 1,2425,Auxerre,Eros Maddy,NED,Defender,23.0,2001.0,2,0,15,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.52,0.0,0.52,8.0,0.0,0.0,3.0,5.0,0.0,8.0,7.0,36.0,21.0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2425,Auxerre,Florian Ayé,FRA,Forward,27.0,1997.0,26,4,575,6.4,2,0,2,2,0,0,0,0,1.9,1.9,0.1,2.0,5,7,30,0.31,0.0,0.31,0.31,0.31,0.3,0.02,0.32,0.3,0.32,187.0,5.0,18.0,93.0,76.0,20.0,187.0,89.0,479.0,147.0,2.0,2.0,0.0,0.0,2.0
FRA-Ligue 1,2425,Auxerre,Fredrik Oppegard,NOR,Defender,21.0,2002.0,9,2,273,3.0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,5,7,11,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.07,0.04,0.07,184.0,11.0,62.0,65.0,59.0,4.0,184.0,99.0,533.0,223.0,6.0,4.0,4.0,1.0,1.0
FRA-Ligue 1,2425,Auxerre,Gabriel Osho,NGA,Defender,25.0,1998.0,20,20,1654,18.4,1,0,1,1,0,0,1,1,1.0,1.0,0.1,1.1,12,43,2,0.05,0.0,0.05,0.05,0.05,0.05,0.01,0.06,0.05,0.06,944.0,132.0,484.0,417.0,48.0,11.0,944.0,539.0,2461.0,1294.0,23.0,15.0,17.0,3.0,3.0
FRA-Ligue 1,2425,Auxerre,Gaëtan Perrin,FRA,Midfielder/Forward,28.0,1996.0,34,31,2691,29.9,10,11,21,10,0,0,2,0,6.1,6.1,7.8,13.9,83,142,125,0.33,0.37,0.7,0.33,0.7,0.2,0.26,0.47,0.2,0.47,1327.0,6.0,144.0,590.0,616.0,98.0,1327.0,798.0,5341.0,2838.0,49.0,26.0,22.0,12.0,15.0
FRA-Ligue 1,2425,Auxerre,Gideon Mensah,GHA,Defender,26.0,1998.0,29,26,2280,25.3,0,1,1,0,0,0,2,0,0.2,0.2,2.6,2.8,52,93,101,0.0,0.04,0.04,0.0,0.04,0.01,0.1,0.11,0.01,0.11,1627.0,95.0,542.0,767.0,338.0,15.0,1627.0,880.0,4696.0,2499.0,68.0,45.0,37.0,21.0,10.0
FRA-Ligue 1,2425,Auxerre,Hamed Junior Traorè,CIV,Midfielder,24.0,2000.0,26,26,2093,23.3,10,2,12,10,0,0,5,0,7.9,7.9,2.7,10.6,66,99,146,0.43,0.09,0.52,0.43,0.52,0.34,0.12,0.46,0.34,0.46,971.0,9.0,109.0,424.0,457.0,87.0,971.0,615.0,3769.0,1876.0,41.0,20.0,11.0,17.0,13.0
FRA-Ligue 1,2425,Auxerre,Han-Noah Massengo,FRA,Midfielder,23.0,2001.0,17,11,1046,11.6,0,0,0,0,0,0,5,0,0.4,0.4,0.4,0.8,13,28,13,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.07,0.03,0.07,548.0,21.0,163.0,302.0,91.0,7.0,548.0,345.0,1895.0,791.0,17.0,11.0,5.0,8.0,4.0
FRA-Ligue 1,2425,Auxerre,Jubal,BRA,Defender,30.0,1993.0,30,30,2640,29.3,6,0,6,3,3,4,7,0,5.2,2.0,0.9,2.9,1,33,3,0.2,0.0,0.2,0.1,0.1,0.18,0.03,0.21,0.07,0.1,1458.0,274.0,866.0,550.0,52.0,38.0,1454.0,698.0,2904.0,973.0,60.0,39.0,46.0,13.0,1.0
FRA-Ligue 1,2425,Auxerre,Ki-Jana Hoever,NED,Defender,22.0,2002.0,30,26,2124,23.6,1,2,3,1,0,0,4,1,0.5,0.5,2.7,3.2,59,79,128,0.04,0.08,0.13,0.04,0.13,0.02,0.11,0.13,0.02,0.13,1349.0,75.0,393.0,577.0,390.0,29.0,1349.0,656.0,3300.0,1749.0,51.0,38.0,26.0,16.0,9.0
FRA-Ligue 1,2425,Auxerre,Kévin Danois,FRA,Midfielder,20.0,2004.0,22,16,1460,16.2,0,0,0,0,0,0,1,0,1.5,1.5,2.2,3.7,19,95,50,0.0,0.0,0.0,0.0,0.0,0.09,0.13,0.23,0.09,0.23,912.0,35.0,197.0,470.0,256.0,37.0,912.0,570.0,2743.0,1230.0,49.0,30.0,20.0,22.0,7.0
FRA-Ligue 1,2425,Auxerre,Lassine Sinayoko,MLI,Forward/Midfielder,24.0,1999.0,34,25,2299,25.5,5,8,13,4,1,1,5,0,6.5,5.7,5.5,11.3,53,62,193,0.2,0.31,0.51,0.16,0.47,0.25,0.22,0.47,0.22,0.44,993.0,35.0,148.0,390.0,465.0,127.0,992.0,576.0,3080.0,1441.0,33.0,20.0,10.0,14.0,9.0
