league,season,team,player,nationality,position,age,birth_year,matches_played,starts,minutes,nineties,goals,assists,goals_assists,goals_non_penalty,penalties_made,penalties_attempted,yellow_cards,red_cards,expected_goals,expected_goals_non_penalty,expected_assists,expected_goals_assists_non_penalty,progressive_carries,progressive_passes,progressive_receives,goals_per_90,assists_per_90,goals_assists_per_90,goals_non_penalty_per_90,goals_assists_non_penalty_per_90,expected_goals_per_90,expected_assists_per_90,expected_goals_assists_per_90,expected_goals_non_penalty_per_90,expected_goals_assists_non_penalty_per_90,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,carries_carries,carries_totdist,carries_prgdist,tackles,tackles_won,tackles_def_third,tackles_mid_third,tackles_att_third
ENG-Premier League,2425,Aston Villa,Pau Torres,ESP,Defender,27.0,1997.0,24,23,2020,22.4,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6,40,97,8,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,1518.0,237.0,701.0,726.0,97.0,17.0,1518.0,965.0,6359.0,4176.0,21.0,15.0,11.0,8.0,2.0
ENG-Premier League,2425,Aston Villa,Robin Olsen,SWE,Goalkeeper,34.0,1990.0,4,1,226,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,94.0,109.0,1.0,0.0,0.0,110.0,50.0,270.0,132.0,1.0,0.0,1.0,0.0,0.0
ENG-Premier League,2425,Aston Villa,Ross Barkley,ENG,Midfielder,30.0,1993.0,20,3,581,6.5,3,1,4,3,0,0,3,0,1.8,1.8,0.6,2.4,15,36,10,0.46,0.15,0.62,0.46,0.62,0.27,0.1,0.37,0.27,0.37,464.0,17.0,75.0,275.0,121.0,19.0,464.0,277.0,1560.0,733.0,14.0,3.0,4.0,10.0,0.0
ENG-Premier League,2425,Aston Villa,Tyrone Mings,ENG,Defender,31.0,1993.0,14,12,1120,12.4,0,0,0,0,0,0,1,0,0.8,0.8,0.2,1.0,7,40,1,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.08,0.07,0.08,794.0,146.0,405.0,346.0,47.0,17.0,794.0,484.0,2662.0,1365.0,7.0,6.0,6.0,1.0,0.0
ENG-Premier League,2425,Aston Villa,Youri Tielemans,BEL,Midfielder,27.0,1997.0,36,35,3026,33.6,3,7,10,3,0,1,4,0,3.3,2.5,7.0,9.5,39,235,48,0.09,0.21,0.3,0.09,0.3,0.1,0.21,0.31,0.07,0.28,2385.0,103.0,479.0,1366.0,565.0,45.0,2384.0,1288.0,5561.0,2551.0,84.0,58.0,32.0,44.0,8.0
ENG-Premier League,2425,Bournemouth,Adam Smith,ENG,Defender,33.0,1991.0,25,19,1590,17.7,0,0,0,0,0,0,7,0,0.7,0.7,0.4,1.1,15,49,34,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,825.0,41.0,240.0,394.0,197.0,8.0,825.0,366.0,1552.0,711.0,24.0,12.0,11.0,7.0,6.0
ENG-Premier League,2425,Bournemouth,Alex Scott,ENG,Midfielder,20.0,2003.0,20,8,755,8.4,0,0,0,0,0,0,3,0,0.7,0.7,0.9,1.6,15,52,33,0.0,0.0,0.0,0.0,0.0,0.09,0.11,0.19,0.09,0.19,485.0,24.0,90.0,257.0,144.0,18.0,485.0,247.0,1401.0,663.0,27.0,14.0,11.0,8.0,8.0
ENG-Premier League,2425,Bournemouth,Antoine Semenyo,GHA,Forward,24.0,2000.0,37,36,3203,35.6,11,5,16,11,0,0,9,0,10.0,10.0,5.8,15.8,140,109,282,0.31,0.14,0.45,0.31,0.45,0.28,0.16,0.44,0.28,0.44,1653.0,46.0,206.0,573.0,909.0,191.0,1653.0,979.0,7353.0,3581.0,55.0,35.0,17.0,25.0,13.0
ENG-Premier League,2425,Bournemouth,Ben Winterburn,ENG,Midfielder/Forward,19.0,2004.0,4,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,5.0,2.0,1.0,9.0,6.0,50.0,40.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Bournemouth,Dango Ouattara,BFA,Forward,22.0,2002.0,32,21,2005,22.3,7,4,11,7,0,0,3,0,8.4,8.4,5.5,13.8,79,43,191,0.31,0.18,0.49,0.31,0.49,0.38,0.25,0.62,0.38,0.62,959.0,62.0,165.0,316.0,497.0,128.0,959.0,492.0,3577.0,1777.0,35.0,26.0,14.0,11.0,10.0
ENG-Premier League,2425,Bournemouth,Daniel Jebbison,CAN,Forward,20.0,2003.0,16,0,119,1.3,1,0,1,1,0,0,1,0,1.0,1.0,0.2,1.2,4,3,16,0.76,0.0,0.76,0.76,0.76,0.75,0.15,0.9,0.75,0.9,78.0,3.0,10.0,25.0,44.0,14.0,78.0,44.0,277.0,95.0,5.0,3.0,3.0,2.0,0.0
ENG-Premier League,2425,Bournemouth,David Brooks,WAL,Forward/Midfielder,27.0,1997.0,29,9,960,10.7,2,0,2,2,0,0,3,0,2.5,2.5,1.9,4.4,35,35,83,0.19,0.0,0.19,0.19,0.19,0.24,0.18,0.41,0.24,0.41,545.0,15.0,59.0,207.0,289.0,39.0,545.0,342.0,2344.0,1115.0,14.0,6.0,2.0,8.0,4.0
ENG-Premier League,2425,Bournemouth,Dean Huijsen,ESP,Defender,19.0,2005.0,32,26,2427,27.0,3,2,5,3,0,0,10,0,1.9,1.9,2.0,3.9,41,132,10,0.11,0.07,0.19,0.11,0.19,0.07,0.08,0.14,0.07,0.14,2021.0,254.0,915.0,971.0,145.0,30.0,2021.0,1118.0,7072.0,4349.0,36.0,26.0,19.0,16.0,1.0
ENG-Premier League,2425,Bournemouth,Enes Ünal,TUR,Forward/Midfielder,27.0,1997.0,17,2,345,3.8,2,1,3,2,0,0,2,0,2.7,2.7,0.4,3.1,4,12,22,0.52,0.26,0.78,0.52,0.78,0.72,0.1,0.82,0.72,0.82,172.0,6.0,14.0,63.0,95.0,26.0,172.0,91.0,261.0,95.0,1.0,0.0,0.0,0.0,1.0
ENG-Premier League,2425,Bournemouth,Evanilson,BRA,Forward,24.0,1999.0,31,28,2319,25.8,10,1,11,10,0,1,1,1,12.5,11.7,1.9,13.6,29,28,99,0.39,0.04,0.43,0.39,0.43,0.48,0.07,0.56,0.45,0.53,558.0,23.0,56.0,208.0,299.0,127.0,557.0,333.0,1822.0,861.0,16.0,10.0,6.0,5.0,5.0
