league,season,team,player,nation,pos,age,born,playing_time_mp,playing_time_starts,playing_time_min,90s,performance_ga,performance_ga90,performance_sota,performance_saves,performance_save_pct,performance_w,performance_d,performance_l,performance_cs,performance_cs_pct,penalty_kicks_pkatt,penalty_kicks_pka,penalty_kicks_pksv,penalty_kicks_pkm,penalty_kicks_save_pct,nation_adv,pos_adv,age_adv,born_adv,90s_adv,goals_ga,goals_pka,goals_fk,goals_ck,goals_og,expected_psxg,expected_psxg_per_sot,expected_psxg+_per_-,expected__per_90,launched_cmp,launched_att,launched_cmp_pct,passes_att_(gk),passes_thr,passes_launch_pct,passes_avglen,goal_kicks_att,goal_kicks_launch_pct,goal_kicks_avglen,crosses_opp,crosses_stp,crosses_stp_pct,sweeper_#opa,sweeper_#opa_per_90,sweeper_avgdist
ITA-Serie A,2425,Inter,Yann Sommer,,,35,1988,32,32,2880,32.0,29,0.91,110,81,76.4,20,8,4,13,40.6,4,3,1,0,25.0,,,35,1988,32.0,29,3,0,3,1,31.7,0.24,0.7,0.02,91,226,40.3,1199,136,16.9,26.6,126,18.3,27.5,356,14,3.9,14,0.42,13.2
ITA-Serie A,2425,Juventus,Mattia Perin,,,31,1992,5,5,450,5.0,3,0.6,16,13,81.3,2,3,0,3,60.0,0,0,0,0,,,,31,1992,5.0,3,0,0,0,0,3.7,0.23,0.7,0.14,11,44,25.0,170,30,22.4,29.4,12,50.0,40.8,50,3,6.0,3,0.6,14.0
ITA-Serie A,2425,Juventus,Michele Di Gregorio,,,27,1997,33,33,2970,33.0,32,0.97,103,71,73.8,16,13,4,14,42.4,5,5,0,0,0.0,,,27,1997,33.0,32,5,0,6,0,28.1,0.24,-3.9,-0.12,128,333,38.4,848,126,30.0,31.4,146,54.1,44.0,469,29,6.2,30,0.91,13.1
ITA-Serie A,2425,Lazio,Christos Mandas,,,22,2001,9,9,810,9.0,7,0.78,27,20,74.1,3,5,1,4,44.4,0,0,0,0,,,,22,2001,9.0,7,0,0,1,0,7.9,0.29,0.9,0.1,42,124,33.9,308,36,36.4,35.9,25,48.0,41.8,130,20,15.4,22,2.44,16.8
ITA-Serie A,2425,Lazio,Ivan Provedel,,,30,1994,29,29,2610,29.0,42,1.45,92,52,58.7,15,6,8,5,17.2,4,4,0,0,0.0,,,30,1994,29.0,42,4,0,3,2,31.5,0.32,-8.5,-0.29,146,374,39.0,1009,96,30.8,33.3,106,59.4,46.1,366,29,7.9,32,1.1,14.5
ITA-Serie A,2425,Lecce,Wladimiro Falcone,,,29,1995,38,38,3420,38.0,58,1.53,181,125,72.4,8,10,20,9,23.7,10,8,1,1,11.1,,,29,1995,38.0,58,8,3,5,3,53.8,0.26,-1.2,-0.03,220,656,33.5,1017,120,51.9,39.1,178,71.9,50.2,590,29,4.9,19,0.5,11.0
ITA-Serie A,2425,Milan,Marco Sportiello,,,32,1992,2,1,126,1.4,2,1.43,6,4,66.7,1,0,0,1,100.0,0,0,0,0,,,,32,1992,1.4,2,0,0,0,0,2.2,0.36,0.2,0.12,5,13,38.5,46,8,21.7,27.8,14,21.4,30.6,15,1,6.7,3,2.14,25.5
ITA-Serie A,2425,Milan,Mike Maignan,,,29,1995,37,37,3294,36.6,41,1.12,136,97,70.6,17,9,11,12,32.4,2,1,1,0,50.0,,,29,1995,36.6,41,1,1,3,3,36.8,0.26,-1.2,-0.03,118,306,38.6,1355,174,17.4,27.8,194,36.1,38.6,447,26,5.8,68,1.86,18.7
ITA-Serie A,2425,Monza,Andrea Mazza,,,20,2004,1,0,8,0.1,0,0.0,0,0,,0,0,0,0,,0,0,0,0,,,,20,2004,0.1,0,0,0,0,0,0.0,,0.0,0.0,1,2,50.0,5,1,20.0,24.0,2,50.0,40.0,1,0,0.0,0,0.0,
ITA-Serie A,2425,Monza,Semuel Pizzignacco,,,22,2001,9,8,736,8.2,17,2.08,38,22,55.3,1,2,5,1,12.5,0,0,0,0,,,,22,2001,8.2,17,0,1,2,1,12.4,0.33,-3.6,-0.44,39,113,34.5,273,30,33.7,31.4,49,42.9,38.4,119,4,3.4,7,0.86,12.8
