league,season,team,player,nation,pos,age,born,playing_time_mp,playing_time_starts,playing_time_min,90s,performance_ga,performance_ga90,performance_sota,performance_saves,performance_save_pct,performance_w,performance_d,performance_l,performance_cs,performance_cs_pct,penalty_kicks_pkatt,penalty_kicks_pka,penalty_kicks_pksv,penalty_kicks_pkm,penalty_kicks_save_pct,nation_adv,pos_adv,age_adv,born_adv,90s_adv,goals_ga,goals_pka,goals_fk,goals_ck,goals_og,expected_psxg,expected_psxg_per_sot,expected_psxg+_per_-,expected__per_90,launched_cmp,launched_att,launched_cmp_pct,passes_att_(gk),passes_thr,passes_launch_pct,passes_avglen,goal_kicks_att,goal_kicks_launch_pct,goal_kicks_avglen,crosses_opp,crosses_stp,crosses_stp_pct,sweeper_#opa,sweeper_#opa_per_90,sweeper_avgdist
ESP-La Liga,2425,Valencia,Giorgi Mamardashvili,,,23,2000,34,34,3060,34.0,48,1.41,136,89,68.4,11,11,12,8,23.5,7,5,2,0,28.6,,,23,2000,34.0,48,5,0,4,3,46.1,0.3,1.1,0.03,141,449,31.4,859,134,36.0,34.5,219,63.9,49.6,472,33,7.0,38,1.12,14.3
ESP-La Liga,2425,Valencia,Stole Dimitrievski,,,30,1993,4,4,360,4.0,6,1.5,12,6,58.3,0,2,2,0,0.0,2,1,0,1,0.0,,,30,1993,4.0,6,1,0,0,0,4.5,0.29,-1.5,-0.38,15,72,20.8,113,25,49.6,40.5,20,80.0,53.6,51,3,5.9,16,4.0,25.7
ESP-La Liga,2425,Valladolid,André Ferreira,,,28,1996,6,6,540,6.0,20,3.33,39,19,56.4,0,0,6,0,0.0,3,3,0,0,0.0,,,28,1996,6.0,20,3,0,1,0,15.3,0.35,-4.7,-0.79,30,83,36.1,138,26,37.0,33.8,56,57.1,41.7,92,4,4.3,3,0.5,10.4
ESP-La Liga,2425,Valladolid,Arnau Rafús,,,21,2003,1,1,90,1.0,2,2.0,2,0,0.0,0,0,1,0,0.0,0,0,0,0,,,,21,2003,1.0,2,0,1,0,0,0.5,0.23,-1.5,-1.53,7,15,46.7,38,5,34.2,34.9,5,40.0,39.0,14,1,7.1,1,1.0,11.4
ESP-La Liga,2425,Valladolid,Karl Jakob Hein,,,22,2002,31,31,2790,31.0,68,2.19,163,96,60.7,4,4,23,5,16.1,4,4,0,0,0.0,,,22,2002,31.0,68,4,1,4,1,58.8,0.35,-8.2,-0.27,165,452,36.5,941,136,32.6,33.9,224,64.7,51.7,474,34,7.2,34,1.1,14.0
ESP-La Liga,2425,Villarreal,Diego Conde,,,25,1998,22,22,1962,21.8,33,1.51,94,62,68.1,11,6,5,2,9.1,4,3,0,1,0.0,,,25,1998,21.8,33,3,1,6,1,26.3,0.26,-5.7,-0.26,61,161,37.9,532,111,22.7,28.2,107,37.4,36.3,323,18,5.6,16,0.73,11.9
ESP-La Liga,2425,Villarreal,Luiz Lúcio Reis Júnior,,,23,2001,17,16,1458,16.2,18,1.11,66,48,78.8,9,4,3,5,31.3,4,4,0,0,0.0,,,23,2001,16.2,18,4,1,0,0,18.1,0.23,0.1,0.0,61,178,34.3,392,96,31.9,31.6,99,53.5,43.6,256,16,6.3,20,1.23,12.2
FRA-Ligue 1,2425,Angers,Melvin Zinga,,,22,2002,1,1,90,1.0,2,2.0,4,2,75.0,0,0,1,0,0.0,1,1,0,0,0.0,,,22,2002,1.0,2,1,0,0,0,2.4,0.41,0.4,0.4,2,11,18.2,22,4,40.9,39.0,11,18.2,25.6,20,1,5.0,2,2.0,16.8
FRA-Ligue 1,2425,Angers,Yahia Fofana,,,23,2000,33,33,2970,33.0,51,1.55,186,135,74.2,10,6,17,7,21.2,4,3,0,1,0.0,,,23,2000,33.0,51,3,0,7,0,63.5,0.34,12.5,0.38,144,435,33.1,751,180,38.6,35.8,261,55.6,43.6,531,48,9.0,20,0.61,10.7
FRA-Ligue 1,2425,Auxerre,Donovan Léon,,,31,1992,32,32,2880,32.0,48,1.5,164,118,73.8,11,8,13,9,28.1,6,5,1,0,16.7,,,31,1992,32.0,48,5,0,7,3,55.8,0.32,10.8,0.34,213,649,32.8,935,173,53.0,42.0,195,78.5,56.4,518,28,5.4,39,1.22,14.6
FRA-Ligue 1,2425,Auxerre,Théo De Percin,,,23,2001,2,2,180,2.0,3,1.5,9,5,77.8,0,1,1,1,50.0,2,1,1,0,50.0,,,23,2001,2.0,3,1,0,0,0,3.5,0.22,0.5,0.23,8,31,25.8,46,5,45.7,40.3,12,83.3,55.3,38,3,7.9,3,1.5,13.1
FRA-Ligue 1,2425,Brest,Grégoire Coudert,,,25,1999,2,2,180,2.0,5,2.5,13,9,61.5,1,0,1,0,0.0,0,0,0,0,,,,25,1999,2.0,5,0,0,1,1,2.8,0.22,-1.2,-0.6,6,20,30.0,60,7,28.3,31.4,8,37.5,36.5,30,1,3.3,3,1.5,18.5
FRA-Ligue 1,2425,Brest,Marco Bizot,,,33,1991,32,32,2880,32.0,54,1.69,128,74,64.1,14,5,13,10,31.3,10,8,1,1,11.1,,,33,1991,32.0,54,8,1,4,1,46.2,0.31,-6.8,-0.21,218,522,41.8,902,134,42.0,36.0,216,66.2,49.2,459,33,7.2,53,1.66,16.2
FRA-Ligue 1,2425,Le Havre,Arthur Desmas,,,30,1994,18,18,1620,18.0,38,2.11,93,54,61.3,5,0,13,3,16.7,3,2,1,0,33.3,,,30,1994,18.0,38,2,1,4,0,38.7,0.4,0.7,0.04,56,151,37.1,404,72,28.5,30.9,117,30.8,29.6,277,12,4.3,7,0.39,11.9
FRA-Ligue 1,2425,Le Havre,Mathieu Gorgelin,,,33,1990,16,16,1440,16.0,33,2.06,82,50,63.4,5,4,7,1,6.3,3,3,0,0,0.0,,,33,1990,16.0,33,3,0,4,1,34.2,0.4,2.2,0.14,79,183,43.2,435,75,32.9,32.4,99,40.4,34.6,269,21,7.8,8,0.5,10.5
FRA-Ligue 1,2425,Lens,Brice Samba,,,30,1994,15,15,1350,15.0,14,0.93,54,40,81.5,6,6,3,7,46.7,4,4,0,0,0.0,,,30,1994,15.0,14,4,2,3,0,17.5,0.26,3.5,0.23,82,163,50.3,435,61,29.7,30.5,76,44.7,36.1,152,17,11.2,22,1.47,16.1
FRA-Ligue 1,2425,Lens,Hervé Koffi,,,27,1996,5,5,450,5.0,8,1.6,26,18,76.9,1,0,4,0,0.0,2,2,0,0,0.0,,,27,1996,5.0,8,2,0,1,0,11.1,0.38,3.1,0.61,14,42,33.3,115,22,29.6,33.2,19,42.1,36.4,53,4,7.5,2,0.4,9.4
FRA-Ligue 1,2425,Lens,Mathew Ryan,,,32,1992,14,14,1260,14.0,17,1.21,62,44,75.8,8,1,5,6,42.9,3,2,1,0,33.3,,,32,1992,14.0,17,2,0,0,0,19.5,0.28,2.5,0.18,46,135,34.1,342,79,31.3,32.3,66,42.4,35.3,176,20,11.4,10,0.71,11.6
FRA-Ligue 1,2425,Lille,Lucas Chevalier,,,22,2001,34,34,3060,34.0,36,1.06,126,91,74.6,17,9,8,11,32.4,4,4,0,0,0.0,,,22,2001,34.0,36,4,0,6,1,42.2,0.32,7.2,0.21,112,288,38.9,968,144,25.7,29.6,112,34.8,35.7,373,21,5.6,24,0.71,13.9
FRA-Ligue 1,2425,Lyon,Lucas Perri,,,26,1997,33,33,2970,33.0,44,1.33,160,116,74.4,17,6,10,10,30.3,3,3,0,0,0.0,,,26,1997,33.0,44,3,1,6,0,47.8,0.29,3.8,0.12,101,310,32.6,884,183,28.1,30.5,152,40.8,37.6,415,26,6.3,29,0.88,13.5
FRA-Ligue 1,2425,Lyon,Rémy Descamps,,,28,1996,1,1,90,1.0,2,2.0,6,4,66.7,0,0,1,0,0.0,0,0,0,0,,,,28,1996,1.0,2,0,0,0,0,1.4,0.23,-0.6,-0.62,1,4,25.0,28,2,14.3,27.5,2,0.0,16.0,7,0,0.0,0,0.0,7.0
FRA-Ligue 1,2425,Marseille,Gerónimo Rulli,,,32,1992,34,34,3060,34.0,47,1.38,135,87,67.4,20,5,9,5,14.7,6,3,3,0,50.0,,,32,1992,34.0,47,3,1,4,2,47.5,0.33,2.5,0.07,92,202,45.5,1097,133,15.0,24.4,105,35.2,32.7,309,28,9.1,59,1.74,18.3
FRA-Ligue 1,2425,Monaco,Philipp Köhn,,,26,1998,19,19,1710,19.0,19,1.0,63,44,71.4,11,5,3,8,42.1,1,1,0,0,0.0,,,26,1998,19.0,19,1,0,2,0,17.2,0.26,-1.8,-0.1,50,157,31.8,447,70,25.7,29.9,99,42.4,38.1,225,16,7.1,20,1.05,14.8
FRA-Ligue 1,2425,Monaco,Radosław Majecki,,,24,1999,15,15,1350,15.0,22,1.47,65,43,69.2,7,2,6,3,20.0,2,2,0,0,0.0,,,24,1999,15.0,22,2,1,1,0,21.1,0.31,-0.9,-0.06,27,112,24.1,320,76,26.6,30.5,87,31.0,32.8,154,14,9.1,18,1.2,14.0
FRA-Ligue 1,2425,Montpellier,Benjamin Lecomte,,,33,1991,30,30,2700,30.0,68,2.27,173,107,64.2,3,4,23,1,3.3,7,6,1,0,14.3,,,33,1991,30.0,68,6,0,5,3,57.3,0.31,-5.7,-0.2,177,449,39.4,814,115,42.5,36.2,184,56.0,42.4,408,20,4.9,26,0.9,14.3
FRA-Ligue 1,2425,Montpellier,Dimitry Bertaud,,,26,1998,4,4,360,4.0,11,2.75,21,10,57.1,1,0,3,0,0.0,2,2,0,0,0.0,,,26,1998,4.0,11,2,0,0,0,8.8,0.35,-2.2,-0.54,20,47,42.6,86,19,38.4,34.5,27,51.9,43.6,55,8,14.5,3,0.75,13.3
FRA-Ligue 1,2425,Nantes,Alban Lafont,,,25,1999,12,12,1080,12.0,19,1.58,49,32,67.3,2,4,6,2,16.7,3,3,0,0,0.0,,,25,1999,12.0,19,3,0,2,2,16.8,0.3,-0.2,-0.02,40,143,28.0,309,56,34.0,34.9,57,66.7,51.1,200,16,8.0,6,0.5,10.6
FRA-Ligue 1,2425,Nantes,Anthony Lopes,,,33,1990,18,18,1563,17.4,26,1.5,71,46,69.0,5,6,7,3,16.7,5,4,0,1,0.0,,,33,1990,17.4,26,4,0,1,1,25.6,0.32,0.6,0.03,89,257,34.6,451,56,40.4,35.8,96,78.1,49.4,308,16,5.2,8,0.46,11.0
FRA-Ligue 1,2425,Nantes,Patrik Carlgren,,,32,1992,5,4,417,4.6,7,1.51,28,21,75.0,1,2,1,1,25.0,0,0,0,0,,,,32,1992,4.6,7,0,0,1,0,8.5,0.3,1.5,0.31,22,63,34.9,99,27,36.4,34.4,37,73.0,48.6,80,1,1.3,1,0.22,10.9
FRA-Ligue 1,2425,Nice,Marcin Bułka,,,24,1999,34,34,3060,34.0,41,1.21,161,120,75.8,17,9,8,8,23.5,3,2,1,0,33.3,,,24,1999,34.0,41,2,0,4,1,43.0,0.26,3.0,0.09,112,272,41.2,948,173,22.8,28.6,162,34.6,32.3,470,39,8.3,33,0.97,12.8
