league,season,team,player,nationality,position,age,birth_year,90s,tackles,tackles_won,tackles_def_third,tackles_mid_third,tackles_att_third,challenge_tackles,challenges_attempted,tackle_success_rate,challenges_lost,blocks,shots_blocked,passes_blocked,interceptions,tackles_plus_interceptions,clearances,errors
ENG-Premier League,2425,Brentford,Keane Lewis-Potter,,,23.0,2001.0,34.4,49,27,26,16,7,31,50,62.0,19,28,10,18,21,70,76,3
ENG-Premier League,2425,Brentford,Kevin Schade,,,22.0,2001.0,25.5,39,25,17,10,12,13,23,56.5,10,19,4,15,5,44,34,0
ENG-Premier League,2425,Brentford,Kim Jisoo,,,19.0,2004.0,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
ENG-Premier League,2425,Brentford,Kristoffer Ajer,,,26.0,1998.0,16.0,26,18,14,11,1,14,27,51.9,13,17,4,13,12,38,50,0
ENG-Premier League,2425,Brentford,Mads Roerslev,,,25.0,1999.0,12.2,18,8,14,3,1,11,28,39.3,17,12,5,7,4,22,35,0
ENG-Premier League,2425,Brentford,Mark Flekken,,,31.0,1993.0,36.4,4,4,4,0,0,3,9,33.3,6,2,0,2,0,4,26,4
ENG-Premier League,2425,Brentford,Mathias Jensen,,,28.0,1996.0,9.6,14,10,6,6,2,8,16,50.0,8,15,4,11,8,22,13,2
ENG-Premier League,2425,Brentford,Michael Kayode,,,20.0,2004.0,5.9,17,11,12,5,0,9,13,69.2,4,3,0,3,7,24,19,0
ENG-Premier League,2425,Brentford,Mikkel Damsgaard,,,24.0,2000.0,32.3,83,44,27,29,27,31,81,38.3,50,40,3,37,27,110,31,2
ENG-Premier League,2425,Brentford,Nathan Collins,,,23.0,2001.0,38.0,40,24,23,12,5,22,36,61.1,14,77,57,20,34,74,226,3
ENG-Premier League,2425,Brentford,Rico Henry,,,27.0,1997.0,1.1,2,2,1,0,1,0,4,0.0,4,4,1,3,1,3,2,0
ENG-Premier League,2425,Brentford,Ryan Trevitt,,,21.0,2003.0,0.0,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0
ENG-Premier League,2425,Brentford,Sepp van den Berg,,,22.0,2001.0,28.7,39,24,25,10,4,19,29,65.5,10,52,38,14,21,60,134,3
ENG-Premier League,2425,Brentford,Thiago,,,23.0,2001.0,1.9,5,3,2,1,2,0,1,0.0,1,3,0,3,2,7,3,1
ENG-Premier League,2425,Brentford,Vitaly Janelt,,,26.0,1998.0,25.0,38,22,14,13,11,21,36,58.3,15,33,9,24,27,65,53,1
ENG-Premier League,2425,Brentford,Yehor Yarmoliuk,,,20.0,2004.0,16.1,49,28,21,21,7,28,55,50.9,27,26,9,17,13,62,33,0
