league,season,team,player,nation,pos,age,born,90s,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won_pct
ENG-Premier League,2425,Bournemouth,Neto,,,35.0,1989.0,2.0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,
ENG-Premier League,2425,Bournemouth,Philip Billing,,,28.0,1996.0,2.0,1,0,0,3,2,0,10,5,5,0,0,0,14,6,4,60.0
ENG-Premier League,2425,Bournemouth,Remy Rees-Dottin,,,18.0,2006.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ENG-Premier League,2425,Bournemouth,Ryan Christie,,,29.0,1995.0,23.5,9,0,0,43,31,1,48,30,33,0,0,0,182,20,28,41.7
ENG-Premier League,2425,Bournemouth,Tyler Adams,,,25.0,1999.0,21.8,7,0,0,45,21,0,3,32,50,0,1,0,114,31,18,63.3
ENG-Premier League,2425,Bournemouth,Zain Silcott-Duberry,,,19.0,2005.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
ENG-Premier League,2425,Brentford,Ben Mee,,,34.0,1989.0,2.0,2,0,0,5,0,0,0,4,2,0,0,0,11,5,5,50.0
ENG-Premier League,2425,Brentford,Bryan Mbeumo,,,24.0,1999.0,37.9,3,0,0,25,44,11,202,14,31,0,0,0,156,34,74,31.5
ENG-Premier League,2425,Brentford,Christian Nørgaard,,,30.0,1994.0,31.3,8,1,0,44,28,1,17,49,49,0,0,0,193,49,30,62.0
ENG-Premier League,2425,Brentford,Edmond-Paris Maghoma,,,23.0,2001.0,1.3,0,0,0,2,4,0,3,1,1,0,0,0,7,1,3,25.0
ENG-Premier League,2425,Brentford,Ethan Pinnock,,,31.0,1993.0,21.3,2,0,0,8,4,0,9,24,19,0,1,1,50,63,43,59.4
