,,,,nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,,,,,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
league,season,team,player,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Lens,Gabin Capuano,FRA,FW,18,2006,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
FRA-Ligue 1,2425,Lens,Goduine Koyalipou,CTA,FW,24,2000,9.8,0,0,0,7,6,6,2,1,2,0,0,0,15,16,24,40.0
FRA-Ligue 1,2425,Lens,Hamzat Ojediran,NGA,"MF,FW",20,2003,4.6,5,0,0,17,3,1,2,10,15,0,0,0,26,9,15,37.5
FRA-Ligue 1,2425,Lens,Hervé Koffi,BFA,GK,27,1996,5.0,2,0,0,0,0,0,0,0,1,0,0,0,3,1,0,100.0
FRA-Ligue 1,2425,Lens,Jeremy Agbonifo,SWE,"FW,MF",18,2005,3.3,1,0,0,14,5,2,7,1,6,0,0,0,9,1,9,10.0
FRA-Ligue 1,2425,Lens,Jhoanner Chávez,ECU,"DF,MF",22,2002,6.6,1,0,0,10,8,2,30,6,5,0,1,0,25,7,5,58.3
FRA-Ligue 1,2425,Lens,Jonathan Gradit,FRA,DF,31,1992,23.5,4,0,0,29,16,0,10,25,23,0,0,0,73,64,44,59.3
FRA-Ligue 1,2425,Lens,Juma Bah,SLE,DF,18,2006,7.6,2,0,0,7,1,0,0,17,10,0,0,0,37,23,6,79.3
FRA-Ligue 1,2425,Lens,Kembo Diliwidi,FRA,DF,18,2006,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,
FRA-Ligue 1,2425,Lens,Kevin Danso,AUT,DF,25,1998,12.0,3,0,0,27,11,1,0,20,7,0,1,0,59,41,21,66.1
FRA-Ligue 1,2425,Lens,Kyllian Antonio,FRA,"DF,MF",16,2008,1.5,0,0,0,2,3,0,2,3,2,0,0,0,5,2,2,50.0
FRA-Ligue 1,2425,Lens,M'Bala Nzola,ANG,FW,27,1996,16.2,3,1,0,30,13,24,1,5,4,0,0,0,36,38,36,51.4
FRA-Ligue 1,2425,Lens,Malang Sarr,FRA,DF,25,1999,15.4,0,0,0,13,10,1,1,22,13,0,3,0,69,18,5,78.3
FRA-Ligue 1,2425,Lens,Martin Satriano,URU,"FW,DF",23,2001,1.0,0,0,0,4,1,0,1,0,1,0,0,0,6,5,5,50.0
FRA-Ligue 1,2425,Lens,Mathew Ryan,AUS,GK,32,1992,14.0,0,0,0,0,1,0,0,1,0,0,0,0,11,4,0,100.0
FRA-Ligue 1,2425,Lens,Nampalys Mendy,SEN,MF,32,1992,6.5,2,0,0,11,12,0,2,9,8,0,0,0,30,1,1,50.0
FRA-Ligue 1,2425,Lens,Neil El Aynaoui,FRA,MF,23,2001,17.6,4,0,0,34,32,0,65,30,21,0,0,0,90,24,15,61.5
FRA-Ligue 1,2425,Lens,Przemysław Frankowski,POL,DF,29,1995,15.4,3,0,0,18,7,1,78,19,21,0,0,0,61,8,6,57.1
FRA-Ligue 1,2425,Lens,Rayan Fofana,FRA,"FW,MF",18,2006,0.3,0,0,0,1,1,0,0,0,2,0,0,0,2,0,1,0.0
FRA-Ligue 1,2425,Lens,Ruben Aguilar,FRA,"DF,MF",31,1993,12.5,4,0,0,14,15,5,47,13,18,0,0,0,79,10,16,38.5
FRA-Ligue 1,2425,Lens,Rémy Labeau Lascary,GLP,"FW,MF",21,2003,7.1,5,0,0,23,9,10,19,1,10,0,0,0,21,6,7,46.2
FRA-Ligue 1,2425,Lens,Tom Pouilly,FRA,"DF,MF",21,2003,3.0,1,0,0,3,2,0,11,4,6,0,0,0,16,0,4,0.0
FRA-Ligue 1,2425,Lens,Wesley Saïd,FRA,FW,29,1995,10.1,4,0,0,22,4,7,8,2,11,0,0,0,17,10,16,38.5
FRA-Ligue 1,2425,Lille,Aaron Malouda,FRA,FW,18,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FRA-Ligue 1,2425,Lille,Alexsandro Ribeiro,BRA,DF,24,1999,30.0,10,0,0,28,32,2,8,27,19,0,1,1,175,64,25,71.9
FRA-Ligue 1,2425,Lille,André Gomes,POR,MF,31,1993,14.2,3,0,0,24,12,0,11,6,13,0,0,0,92,9,7,56.3
FRA-Ligue 1,2425,Lille,Angel Gomes,ENG,MF,23,2000,8.2,1,0,0,4,11,0,10,0,6,1,0,0,20,5,6,45.5
FRA-Ligue 1,2425,Lille,Ayyoub Bouaddi,FRA,MF,16,2007,12.8,2,0,0,18,9,0,3,10,31,0,0,0,62,9,9,50.0
FRA-Ligue 1,2425,Lille,Aïssa Mandi,ALG,DF,32,1991,19.3,3,0,0,7,9,1,10,15,17,0,0,0,67,14,22,38.9
FRA-Ligue 1,2425,Lille,Bafodé Diakité,FRA,DF,23,2001,30.7,8,1,1,44,17,1,4,27,18,0,1,0,139,61,23,72.6
FRA-Ligue 1,2425,Lille,Benjamin André,FRA,MF,33,1990,29.9,12,0,0,50,49,3,16,48,57,1,0,0,189,94,82,53.4
FRA-Ligue 1,2425,Lille,Chuba Akpom,ENG,FW,28,1995,7.1,0,0,0,11,15,2,1,0,5,1,0,0,11,17,11,60.7
FRA-Ligue 1,2425,Lille,Edon Zhegrova,KVX,"FW,MF",25,1999,10.9,1,0,0,10,11,5,58,4,2,0,0,0,42,3,2,60.0
FRA-Ligue 1,2425,Lille,Ethan Mbappé,FRA,"MF,FW",17,2006,2.5,3,0,0,5,1,1,14,1,2,0,0,0,8,1,2,33.3
FRA-Ligue 1,2425,Lille,Gabriel Gudmundsson,SWE,DF,25,1999,19.8,3,0,0,30,42,5,59,17,25,0,0,0,83,12,8,60.0
FRA-Ligue 1,2425,Lille,Hákon Arnar Haraldsson,ISL,"MF,FW",21,2003,19.5,3,0,0,19,27,3,59,8,16,1,0,0,71,2,14,12.5
FRA-Ligue 1,2425,Lille,Ismaily,BRA,DF,34,1990,10.0,4,0,0,13,6,0,16,13,17,0,0,0,46,12,15,44.4
FRA-Ligue 1,2425,Lille,Jonathan David,CAN,FW,24,2000,28.4,4,0,0,25,36,10,4,7,8,1,0,0,66,16,42,27.6
FRA-Ligue 1,2425,Lille,Lucas Chevalier,FRA,GK,22,2001,34.0,0,0,0,0,7,0,0,0,2,0,0,0,70,6,0,100.0
FRA-Ligue 1,2425,Lille,Matias Fernandez-Pardo,BEL,"FW,MF",19,2005,11.8,4,0,0,18,21,3,30,3,9,1,0,0,35,0,11,0.0
FRA-Ligue 1,2425,Lille,Mitchel Bakker,NED,"FW,DF",24,2000,12.7,3,1,0,18,9,4,68,12,13,0,0,0,46,3,10,23.1
FRA-Ligue 1,2425,Lille,Mohamed Lamine Bayo,GUI,FW,26,1998,3.4,1,0,0,6,2,0,0,0,1,0,0,0,5,4,4,50.0
FRA-Ligue 1,2425,Lille,Nabil Bentaleb,ALG,MF,29,1994,3.7,0,0,0,3,1,0,6,5,3,0,0,0,20,3,3,50.0
FRA-Ligue 1,2425,Lille,Ngal'Ayel Mukau,COD,MF,19,2004,13.2,4,0,0,19,15,0,5,15,18,0,0,0,63,14,14,50.0
FRA-Ligue 1,2425,Lille,Osame Sahraoui,MAR,"FW,MF",23,2001,14.4,1,0,0,8,12,1,12,7,9,0,0,0,58,0,8,0.0
FRA-Ligue 1,2425,Lille,Ousmane Toure,FRA,DF,19,2005,0.1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,100.0
FRA-Ligue 1,2425,Lille,Rémy Cabella,FRA,"FW,MF",34,1990,11.2,1,0,0,16,19,2,60,8,19,1,1,0,63,3,8,27.3
FRA-Ligue 1,2425,Lille,Thomas Meunier,BEL,DF,32,1991,21.4,5,0,0,27,3,3,62,34,38,0,1,0,88,33,19,63.5
FRA-Ligue 1,2425,Lille,Tiago Santos,POR,DF,22,2002,4.5,1,0,0,6,10,2,19,2,7,1,0,0,15,6,4,60.0
FRA-Ligue 1,2425,Lille,Younes Lachaab,FRA,"MF,FW",19,2005,0.1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0.0
FRA-Ligue 1,2425,Lyon,Abner,BRA,DF,24,2000,12.1,1,0,0,16,4,0,31,5,20,0,0,0,45,7,9,43.8
FRA-Ligue 1,2425,Lyon,Adryelson,BRA,DF,26,1998,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,100.0
FRA-Ligue 1,2425,Lyon,Ainsley Maitland-Niles,ENG,DF,26,1997,22.1,1,0,0,16,10,3,48,25,44,0,0,0,89,15,14,51.7
FRA-Ligue 1,2425,Lyon,Alejandro Rodriguez,POR,MF,16,2008,0.2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0.0
FRA-Ligue 1,2425,Lyon,Alexandre Lacazette,FRA,FW,33,1991,22.8,5,0,0,48,33,20,17,8,6,0,1,0,28,16,32,33.3
FRA-Ligue 1,2425,Lyon,Clinton Mata,ANG,DF,31,1992,26.3,6,0,0,27,34,1,38,46,29,0,0,0,129,21,17,55.3
FRA-Ligue 1,2425,Lyon,Corentin Tolisso,FRA,MF,29,1994,25.9,4,0,0,44,50,8,32,22,25,0,1,0,128,54,58,48.2
FRA-Ligue 1,2425,Lyon,Duje Ćaleta-Car,CRO,DF,27,1996,17.6,8,0,0,27,9,2,1,17,12,0,0,0,65,39,12,76.5
FRA-Ligue 1,2425,Lyon,Ernest Nuamah,GHA,"FW,MF",20,2003,11.7,2,0,0,18,11,7,30,8,11,0,1,0,60,13,14,48.1
FRA-Ligue 1,2425,Lyon,Georges Mikautadze,GEO,FW,23,2000,16.1,2,0,0,7,23,3,9,4,6,2,0,0,44,15,40,27.3
FRA-Ligue 1,2425,Lyon,Gift Orban,NGA,"FW,DF",22,2002,2.1,1,0,0,5,1,4,1,0,0,0,0,0,5,1,4,20.0
FRA-Ligue 1,2425,Lyon,Jordan Veretout,FRA,MF,31,1993,17.3,3,0,0,23,11,0,26,5,14,0,0,0,88,12,15,44.4
FRA-Ligue 1,2425,Lyon,Lucas Perri,BRA,GK,26,1997,33.0,1,0,0,1,4,0,0,0,1,0,0,0,29,12,0,100.0
FRA-Ligue 1,2425,Lyon,Mahamadou Diawara,FRA,MF,19,2005,0.2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,
FRA-Ligue 1,2425,Lyon,Malick Fofana,BEL,FW,19,2005,17.7,2,0,0,13,36,10,70,8,11,1,0,0,63,2,12,14.3
FRA-Ligue 1,2425,Lyon,Mama Samba Baldé,GNB,FW,28,1995,0.4,0,0,0,1,1,0,0,1,2,0,0,0,1,1,0,100.0
FRA-Ligue 1,2425,Lyon,Maxence Caqueret,FRA,MF,24,2000,6.4,1,0,0,4,6,1,6,7,11,0,0,0,24,1,3,25.0
FRA-Ligue 1,2425,Lyon,Moussa Niakhate,SEN,DF,28,1996,30.3,2,0,0,34,16,1,5,25,27,0,0,0,119,43,24,64.2
FRA-Ligue 1,2425,Lyon,Nemanja Matić,SRB,MF,35,1988,22.3,1,0,0,13,7,0,9,18,29,0,0,0,125,15,13,53.6
FRA-Ligue 1,2425,Lyon,Nicolás Tagliafico,ARG,DF,31,1992,21.1,7,0,0,41,27,1,37,36,37,2,0,0,102,25,26,49.0
FRA-Ligue 1,2425,Lyon,Orel Mangala,BEL,MF,26,1998,0.7,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,
FRA-Ligue 1,2425,Lyon,Paul Akouokou,CIV,MF,26,1997,0.2,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,
FRA-Ligue 1,2425,Lyon,Rayan Cherki,FRA,"FW,MF",20,2003,22.7,3,0,0,16,34,3,118,7,12,0,0,0,83,4,8,33.3
FRA-Ligue 1,2425,Lyon,Rémy Descamps,FRA,GK,28,1996,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FRA-Ligue 1,2425,Lyon,Sael Kumbedi,FRA,DF,19,2005,10.6,2,0,0,17,10,0,14,8,14,0,0,0,32,3,7,30.0
FRA-Ligue 1,2425,Lyon,Saïd Benrahma,ALG,"FW,MF",28,1995,8.2,0,0,0,6,6,6,43,3,5,0,0,0,32,0,0,
FRA-Ligue 1,2425,Lyon,Tanner Tessmann,USA,MF,22,2001,13.7,3,0,0,14,14,0,14,19,15,0,0,0,63,4,19,17.4
FRA-Ligue 1,2425,Lyon,Thiago Almada,ARG,"MF,FW",23,2001,10.6,3,0,0,10,8,1,47,7,8,1,0,0,56,1,2,33.3
FRA-Ligue 1,2425,Lyon,Téo Barisic,FRA,DF,19,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FRA-Ligue 1,2425,Lyon,Warmed Omari,COM,DF,24,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FRA-Ligue 1,2425,Lyon,Wilfried Zaha,CIV,FW,31,1992,0.8,0,0,0,2,2,0,0,1,1,0,0,0,2,0,0,
FRA-Ligue 1,2425,Marseille,Adrien Rabiot,FRA,MF,29,1995,27.6,4,0,0,53,33,12,40,21,31,0,1,0,124,34,26,56.7
FRA-Ligue 1,2425,Marseille,Amar Dedić,BIH,DF,21,2002,3.5,1,0,0,7,2,0,5,3,4,0,0,0,18,7,6,53.8
FRA-Ligue 1,2425,Marseille,Amine Gouiri,ALG,"FW,MF",24,2000,11.6,0,0,0,11,7,5,57,1,5,0,0,0,24,2,10,16.7
FRA-Ligue 1,2425,Marseille,Amine Harit,MAR,MF,27,1997,5.8,1,1,0,6,15,0,7,3,7,1,0,0,24,1,5,16.7
FRA-Ligue 1,2425,Marseille,Bamo Meïté,CIV,DF,22,2001,0.3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
FRA-Ligue 1,2425,Marseille,Bilal Nadir,MAR,MF,20,2003,4.3,2,0,0,4,11,0,6,4,3,0,0,0,19,4,2,66.7
FRA-Ligue 1,2425,Marseille,Darryl Bakola,FRA,"DF,MF",16,2007,0.2,1,0,0,3,0,0,0,0,1,0,0,0,1,0,0,
FRA-Ligue 1,2425,Marseille,Derek Cornelius,CAN,DF,26,1997,15.8,9,2,2,25,14,0,4,14,17,0,1,0,67,32,13,71.1
FRA-Ligue 1,2425,Marseille,Elye Wahi,FRA,FW,21,2003,6.4,1,0,0,17,8,10,2,1,0,0,0,0,8,4,13,23.5
FRA-Ligue 1,2425,Marseille,Emmanuel Koum Mbondo,FRA,DF,18,2006,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FRA-Ligue 1,2425,Marseille,Enzo Sternal,FRA,"FW,MF",17,2007,0.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
FRA-Ligue 1,2425,Marseille,Faris Pemi Moumbagna,CMR,FW,24,2000,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
FRA-Ligue 1,2425,Marseille,Geoffrey Kondogbia,CTA,"DF,MF",31,1993,22.4,1,0,0,19,17,1,4,22,38,0,0,0,108,27,15,64.3
FRA-Ligue 1,2425,Marseille,Gerónimo Rulli,ARG,GK,32,1992,34.0,1,0,0,2,11,0,0,1,3,0,2,0,37,7,1,87.5
FRA-Ligue 1,2425,Marseille,Ismaël Bennacer,ALG,MF,26,1997,7.2,2,0,0,19,11,0,28,10,10,0,0,0,50,2,4,33.3
FRA-Ligue 1,2425,Marseille,Ismaël Koné,CAN,"MF,FW",22,2002,4.0,0,0,0,4,11,1,3,4,4,0,0,0,14,2,5,28.6
FRA-Ligue 1,2425,Marseille,Jon Rowe,ENG,"FW,MF",21,2003,9.0,2,0,0,14,26,6,28,2,11,0,0,0,21,7,14,33.3
FRA-Ligue 1,2425,Marseille,Keyliane Abdallah,FRA,FW,18,2006,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
FRA-Ligue 1,2425,Marseille,Leonardo Balerdi,ARG,DF,25,1999,25.3,9,1,1,28,20,0,2,38,39,0,0,1,161,39,21,65.0
FRA-Ligue 1,2425,Marseille,Lilian Brassier,FRA,DF,24,1999,8.7,3,0,0,7,3,0,5,9,6,0,0,0,38,17,7,70.8
FRA-Ligue 1,2425,Marseille,Luis Henrique,BRA,"DF,FW",22,2001,29.0,0,0,0,8,8,9,97,10,9,0,0,0,116,0,5,0.0
FRA-Ligue 1,2425,Marseille,Luiz Felipe,ITA,DF,27,1997,1.4,1,0,0,1,0,0,0,3,3,0,0,0,2,3,3,50.0
FRA-Ligue 1,2425,Marseille,Mason Greenwood,ENG,"FW,MF",22,2001,31.2,3,0,0,24,37,2,110,12,18,2,0,0,88,8,7,53.3
FRA-Ligue 1,2425,Marseille,Michael Amir Murillo,PAN,DF,28,1996,27.1,3,0,0,29,26,1,37,18,31,0,1,0,138,42,17,71.2
FRA-Ligue 1,2425,Marseille,Neal Maupay,FRA,FW,27,1996,11.6,3,1,1,10,17,2,1,2,4,0,0,0,21,8,14,36.4
FRA-Ligue 1,2425,Marseille,Pierre Højbjerg,DEN,MF,28,1995,29.6,5,0,0,30,39,0,19,42,45,0,0,0,171,21,18,53.8
FRA-Ligue 1,2425,Marseille,Pol Lirola,ESP,DF,26,1997,7.6,1,1,0,9,9,0,14,4,9,0,0,1,29,4,7,36.4
FRA-Ligue 1,2425,Marseille,Quentin Merlin,FRA,DF,22,2002,17.7,1,0,0,11,17,2,95,14,17,0,0,0,69,7,15,31.8
FRA-Ligue 1,2425,Marseille,Robinio Vaz,FRA,FW,17,2007,0.8,1,0,0,1,4,0,1,0,1,1,0,0,1,2,2,50.0
FRA-Ligue 1,2425,Marseille,Ulisses Garcia,SUI,DF,28,1996,10.3,2,0,0,8,9,2,35,8,11,1,0,0,48,17,6,73.9
FRA-Ligue 1,2425,Marseille,Valentin Carboni,ARG,"MF,FW",19,2005,1.1,1,0,0,5,1,0,2,1,2,0,0,0,2,2,1,66.7
FRA-Ligue 1,2425,Marseille,Valentin Rongier,FRA,"MF,DF",29,1994,17.4,5,0,0,37,14,0,7,33,28,0,1,0,86,13,11,54.2
FRA-Ligue 1,2425,Monaco,Aleksandr Golovin,RUS,"MF,FW",28,1996,12.8,1,0,0,25,20,1,23,12,24,0,0,0,101,9,13,40.9
FRA-Ligue 1,2425,Monaco,Almoatasem Al Musrati,LBY,MF,28,1996,4.3,0,0,0,5,3,0,0,5,11,0,0,0,19,17,5,77.3
FRA-Ligue 1,2425,Monaco,Breel Embolo,SUI,"FW,MF",27,1997,20.5,5,0,0,27,43,11,6,3,17,2,0,0,58,30,30,50.0
FRA-Ligue 1,2425,Monaco,Caio Henrique Oliveira Silva,BRA,DF,27,1997,21.4,3,0,0,16,20,4,126,22,26,0,0,0,110,13,16,44.8
FRA-Ligue 1,2425,Monaco,Christian Mawissa,FRA,DF,19,2005,16.7,3,0,0,19,7,0,3,26,29,0,1,0,70,31,18,63.3
FRA-Ligue 1,2425,Monaco,Denis Zakaria,SUI,MF,27,1996,23.8,5,0,0,32,21,1,7,34,26,0,2,0,165,18,12,60.0
FRA-Ligue 1,2425,Monaco,Eliesse Ben Seghir,MAR,"MF,FW",19,2005,19.4,0,0,0,25,55,2,52,13,22,0,0,0,86,13,22,37.1
FRA-Ligue 1,2425,Monaco,Eliot Matazo,BEL,MF,22,2002,0.8,0,0,0,0,2,0,0,1,2,0,0,0,7,1,0,100.0
FRA-Ligue 1,2425,Monaco,Folarin Balogun,USA,FW,23,2001,6.8,0,0,0,7,9,8,5,1,1,0,0,0,15,4,20,16.7
FRA-Ligue 1,2425,Monaco,George Ilenikhena,NGA,FW,17,2006,8.0,0,0,0,14,10,9,0,2,2,0,0,0,10,14,16,46.7
FRA-Ligue 1,2425,Monaco,Ismail Jakobs,SEN,DF,24,1999,2.0,0,0,0,1,3,0,14,2,5,0,0,0,5,1,6,14.3
FRA-Ligue 1,2425,Monaco,Jordan Teze,NED,DF,24,1999,6.3,2,1,0,10,3,1,12,6,9,0,0,0,29,7,8,46.7
FRA-Ligue 1,2425,Monaco,Kassoum Ouattara,FRA,"DF,FW",19,2004,4.3,2,0,0,10,2,0,17,5,7,0,0,0,27,4,8,33.3
FRA-Ligue 1,2425,Monaco,Krépin Diatta,SEN,"DF,FW",25,1999,5.6,3,0,0,14,7,2,15,9,12,0,0,0,36,15,9,62.5
FRA-Ligue 1,2425,Monaco,Lamine Camara,SEN,MF,20,2004,22.8,10,1,1,45,39,0,118,31,41,0,0,0,153,21,21,50.0
FRA-Ligue 1,2425,Monaco,Lucas Michal,FRA,"FW,MF",19,2005,1.3,0,0,0,5,4,0,2,1,3,0,0,0,4,3,5,37.5
FRA-Ligue 1,2425,Monaco,Maghnes Akliouche,FRA,"FW,MF",22,2002,26.7,2,0,0,31,38,8,53,15,31,0,0,0,131,5,23,17.9
FRA-Ligue 1,2425,Monaco,Mamadou Coulibaly,FRA,MF,20,2004,0.1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,
FRA-Ligue 1,2425,Monaco,Mika Biereth,DEN,FW,21,2003,13.6,0,0,0,19,30,6,8,4,5,1,0,0,23,18,29,38.3
FRA-Ligue 1,2425,Monaco,Mohammed Salisu,GHA,DF,25,1999,11.4,2,0,0,9,3,1,0,16,18,0,0,0,55,35,18,66.0
FRA-Ligue 1,2425,Monaco,Philipp Köhn,SUI,GK,26,1998,19.0,1,0,0,0,1,0,0,0,0,0,0,0,37,3,0,100.0
FRA-Ligue 1,2425,Monaco,Radosław Majecki,POL,GK,24,1999,15.0,1,0,0,0,1,0,0,0,0,0,0,0,19,5,0,100.0
FRA-Ligue 1,2425,Monaco,Saïmon Bouabré,FRA,"MF,FW",18,2006,1.1,0,0,0,1,2,0,0,0,0,0,0,0,2,0,3,0.0
FRA-Ligue 1,2425,Monaco,Soungoutou Magassa,FRA,MF,20,2003,11.4,5,1,0,28,20,0,7,21,25,0,0,0,90,13,21,38.2
FRA-Ligue 1,2425,Monaco,Takumi Minamino,JPN,"MF,FW",29,1995,24.8,4,0,0,31,23,10,23,10,19,0,0,0,88,19,30,38.8
FRA-Ligue 1,2425,Monaco,Thilo Kehrer,GER,DF,27,1996,26.5,1,0,0,23,20,1,2,36,23,0,0,0,132,54,34,61.4
FRA-Ligue 1,2425,Monaco,Vanderson,BRA,DF,23,2001,22.9,6,1,1,28,23,1,59,39,48,0,0,0,153,22,25,46.8
FRA-Ligue 1,2425,Monaco,Wilfried Singo,CIV,DF,23,2000,23.3,4,0,0,36,34,3,10,43,23,0,0,0,138,51,29,63.8
FRA-Ligue 1,2425,Montpellier,Akor Adams,NGA,FW,24,2000,11.9,2,0,0,17,8,16,5,1,3,2,0,0,24,28,27,50.9
FRA-Ligue 1,2425,Montpellier,Andy Delort,ALG,FW,32,1991,6.7,1,0,0,11,12,10,11,0,3,0,0,0,9,27,33,45.0
FRA-Ligue 1,2425,Montpellier,Arnaud Nordin,FRA,FW,26,1998,13.0,2,0,0,13,40,1,35,5,15,0,0,0,47,12,19,38.7
FRA-Ligue 1,2425,Montpellier,Axel Gueguin,FRA,FW,19,2005,0.3,0,0,0,4,0,0,1,0,1,0,0,0,0,0,0,
FRA-Ligue 1,2425,Montpellier,Bamo Meïté,CIV,DF,22,2001,4.7,2,1,0,8,4,0,0,4,3,0,0,0,8,5,6,45.5
FRA-Ligue 1,2425,Montpellier,Becir Omeragic,SUI,DF,22,2002,20.0,1,0,0,13,10,0,7,13,16,0,0,1,75,20,34,37.0
FRA-Ligue 1,2425,Montpellier,Benjamin Lecomte,FRA,GK,33,1991,30.0,0,0,0,0,2,0,0,0,0,0,0,0,35,4,0,100.0
FRA-Ligue 1,2425,Montpellier,Birama Touré,MLI,"MF,DF",32,1992,3.3,2,0,0,2,5,0,0,6,5,0,0,0,14,4,4,50.0
FRA-Ligue 1,2425,Montpellier,Boubakar Kouyaté,MLI,DF,27,1997,8.4,6,1,1,15,8,4,0,12,17,0,0,0,18,22,15,59.5
FRA-Ligue 1,2425,Montpellier,Dimitry Bertaud,COD,GK,26,1998,4.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
FRA-Ligue 1,2425,Montpellier,Enzo Tchato,CMR,DF,21,2002,21.1,3,0,0,21,16,2,77,22,26,0,0,0,60,19,12,61.3
FRA-Ligue 1,2425,Montpellier,Falaye Sacko,MLI,DF,29,1995,13.7,1,0,0,15,6,1,12,13,8,0,2,0,52,8,14,36.4
FRA-Ligue 1,2425,Montpellier,Gabriel Bares,SUI,"MF,DF",23,2000,0.6,0,0,0,0,1,0,1,1,2,0,0,0,1,0,1,0.0
FRA-Ligue 1,2425,Montpellier,Issiaga Sylla,GUI,DF,30,1994,12.8,2,0,0,13,6,3,36,10,10,0,0,0,51,22,18,55.0
FRA-Ligue 1,2425,Montpellier,Jordan Ferri,FRA,MF,32,1992,19.7,6,1,0,35,30,0,25,9,23,0,3,0,132,13,15,46.4
FRA-Ligue 1,2425,Montpellier,Joris Chotard,FRA,MF,22,2001,21.0,5,0,0,16,10,1,30,19,27,0,1,0,90,16,11,59.3
FRA-Ligue 1,2425,Montpellier,Junior Ndiaye,FRA,FW,19,2005,4.9,0,0,0,9,11,4,1,0,2,0,0,0,4,6,16,27.3
FRA-Ligue 1,2425,Montpellier,Khalil Fayad,FRA,"MF,FW",20,2004,11.4,5,0,0,21,27,1,20,10,16,0,0,1,74,9,6,60.0
FRA-Ligue 1,2425,Montpellier,Lucas Mincarelli,FRA,DF,20,2004,7.9,0,0,0,5,5,0,21,9,10,0,0,0,25,5,9,35.7
FRA-Ligue 1,2425,Montpellier,Modibo Sagnan,MLI,DF,25,1999,23.8,10,0,0,33,12,1,1,29,35,0,1,0,90,37,39,48.7
FRA-Ligue 1,2425,Montpellier,Musa Al-Taamari,JOR,"FW,MF",27,1997,12.4,3,0,0,7,26,3,14,3,10,1,0,0,49,8,10,44.4
FRA-Ligue 1,2425,Montpellier,Nicolas Pays,FRA,"FW,MF",20,2003,5.0,0,0,0,2,6,0,17,4,6,0,0,0,20,5,4,55.6
FRA-Ligue 1,2425,Montpellier,Nikola Maksimović,SRB,DF,32,1991,6.5,2,0,0,3,5,0,0,6,5,0,0,0,14,8,13,38.1
FRA-Ligue 1,2425,Montpellier,Othmane Maamma,MAR,"FW,MF",18,2005,4.0,1,0,0,4,8,2,12,1,1,0,0,0,12,1,4,20.0
FRA-Ligue 1,2425,Montpellier,Rabby Nzingoula,CGO,MF,18,2005,18.8,11,0,0,37,43,2,16,29,42,0,0,0,99,17,20,45.9
FRA-Ligue 1,2425,Montpellier,Simon Cara,FRA,"MF,FW",19,2005,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FRA-Ligue 1,2425,Montpellier,Stefan Džodić,SRB,"DF,MF",19,2005,2.7,2,1,0,4,2,0,0,5,5,0,0,0,10,2,6,25.0
FRA-Ligue 1,2425,Montpellier,Tanguy Coulibaly,FRA,"FW,MF",23,2001,16.5,4,2,1,45,21,3,21,11,24,0,1,0,70,19,23,45.2
FRA-Ligue 1,2425,Montpellier,Théo Chennahi,FRA,DF,19,2005,2.0,2,0,0,3,2,0,2,2,3,0,0,0,11,1,2,33.3
FRA-Ligue 1,2425,Montpellier,Théo Sainte-Luce,FRA,DF,25,1998,11.3,3,0,0,8,9,2,23,12,11,0,0,0,38,15,14,51.7
FRA-Ligue 1,2425,Montpellier,Téji Savanier,FRA,MF,32,1991,26.3,4,1,0,22,62,1,199,15,25,0,0,0,117,18,23,43.9
FRA-Ligue 1,2425,Montpellier,Wahbi Khazri,TUN,"FW,MF",33,1991,12.4,4,0,0,23,28,7,48,5,18,0,0,0,44,8,21,27.6
