,,,,nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,,,,,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
league,season,team,player,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Brighton,Mats Wieffer,NED,"DF,MF",24,1999,11.3,6,0,0,23,10,1,13,17,34,1,1,0,68,32,25,56.1
ENG-Premier League,2425,Brighton,Matt O'Riley,DEN,MF,23,2000,10.4,1,0,0,16,13,2,51,13,9,1,0,1,29,5,8,38.5
ENG-Premier League,2425,Brighton,Pervis Estupiñán,ECU,DF,26,1998,26.7,5,0,0,36,20,3,119,37,43,0,0,0,147,46,26,63.9
ENG-Premier League,2425,Brighton,Simon Adingra,CIV,"FW,MF",22,2002,12.2,0,0,0,13,4,4,41,8,14,0,0,0,47,7,4,63.6
ENG-Premier League,2425,Brighton,Solly March,ENG,"FW,MF",30,1994,1.9,2,0,0,2,2,3,20,2,3,0,0,0,7,1,2,33.3
ENG-Premier League,2425,Brighton,Tariq Lamptey,GHA,DF,23,2000,9.6,0,0,0,15,10,0,28,7,11,0,1,0,39,1,14,6.7
ENG-Premier League,2425,Brighton,Yankuba Minteh,GAM,"FW,MF",20,2004,20.4,6,0,0,21,11,6,91,11,35,0,0,0,85,17,34,33.3
ENG-Premier League,2425,Brighton,Yasin Ayari,SWE,MF,20,2003,21.8,3,0,0,37,26,3,69,20,32,0,1,0,118,16,20,44.4
ENG-Premier League,2425,Chelsea,Axel Disasi,FRA,DF,26,1998,4.0,1,0,0,2,0,0,0,2,4,0,0,0,15,5,2,71.4
ENG-Premier League,2425,Chelsea,Benoît Badiashile,FRA,DF,23,2001,3.7,0,0,0,6,2,0,0,6,6,0,0,0,18,8,2,80.0
ENG-Premier League,2425,Chelsea,Christopher Nkunku,FRA,FW,26,1997,10.2,2,0,0,16,11,3,4,7,8,0,0,0,29,16,22,42.1
ENG-Premier League,2425,Chelsea,Cole Palmer,ENG,"MF,FW",22,2002,35.5,7,0,0,15,60,7,144,11,20,1,0,0,106,2,7,22.2
ENG-Premier League,2425,Chelsea,Enzo Fernández,ARG,MF,23,2001,32.7,8,0,0,52,54,2,109,13,33,0,0,0,156,14,29,32.6
ENG-Premier League,2425,Chelsea,Filip Jørgensen,DEN,GK,22,2002,6.0,0,0,0,1,1,0,0,0,0,0,1,0,5,0,0,
ENG-Premier League,2425,Chelsea,Jadon Sancho,ENG,FW,24,2000,19.6,2,0,0,6,11,6,25,2,7,2,0,0,99,6,11,35.3
ENG-Premier League,2425,Chelsea,Joshua Acheampong,ENG,DF,18,2006,1.9,1,0,0,0,1,0,0,1,1,0,0,0,7,1,6,14.3
ENG-Premier League,2425,Chelsea,João Félix,POR,"FW,MF",24,1999,4.1,2,0,0,6,17,1,0,3,3,0,0,0,22,4,5,44.4
