,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
,,,,,,,,MP,Starts,Min,,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Bayern Munich,Daniel Peretz,ISR,GK,24,2000,3,3,270,3.0,5,1.67,7,2,28.6,2,0,1,0,0.0,0,0,0,0,
GER-Bundesliga,2425,Bayern Munich,Jonas Urbig,GER,GK,20,2003,8,8,720,8.0,12,1.5,28,16,57.1,4,3,1,2,25.0,0,0,0,0,
GER-Bundesliga,2425,Bayern Munich,Manuel Neuer,GER,GK,38,1986,22,22,1980,22.0,15,0.68,45,30,68.9,18,4,0,13,59.1,2,1,0,1,0.0
GER-Bundesliga,2425,Bayern Munich,Sven Ulreich,GER,GK,35,1988,1,1,90,1.0,0,0.0,0,0,,1,0,0,1,100.0,0,0,0,0,
GER-Bundesliga,2425,Bochum,Patrick Drewes,GER,GK,31,1993,21,21,1890,21.0,46,2.19,99,51,56.6,2,5,14,2,9.5,5,3,2,0,40.0
GER-Bundesliga,2425,Bochum,Timo Horn,GER,GK,31,1993,13,13,1170,13.0,22,1.69,54,32,59.3,3,3,7,3,23.1,1,0,0,1,
GER-Bundesliga,2425,Dortmund,Alexander Meyer,GER,GK,33,1991,2,2,180,2.0,4,2.0,11,7,63.6,1,0,1,0,0.0,0,0,0,0,
GER-Bundesliga,2425,Dortmund,Gregor Kobel,SUI,GK,26,1997,32,32,2880,32.0,47,1.47,129,82,66.7,16,6,10,7,21.9,4,4,0,0,0.0
GER-Bundesliga,2425,Eint Frankfurt,Kauã Santos,BRA,GK,21,2003,9,8,765,8.5,12,1.41,46,35,76.1,5,1,2,3,37.5,1,1,0,0,0.0
GER-Bundesliga,2425,Eint Frankfurt,Kevin Trapp,GER,GK,34,1990,26,26,2295,25.5,34,1.33,117,82,70.9,12,8,6,6,23.1,2,0,2,0,100.0
GER-Bundesliga,2425,Freiburg,Florian Müller,GER,GK,26,1997,9,8,753,8.4,16,1.91,30,15,53.3,4,1,3,1,12.5,2,2,0,0,0.0
GER-Bundesliga,2425,Freiburg,Noah Atubolu,GER,GK,22,2002,26,26,2307,25.6,37,1.44,120,81,69.2,12,6,8,10,38.5,2,0,2,0,100.0
GER-Bundesliga,2425,Gladbach,Jonas Omlin,SUI,GK,30,1994,12,11,978,10.9,26,2.39,72,45,66.7,2,1,8,1,9.1,3,2,1,0,33.3
GER-Bundesliga,2425,Gladbach,Moritz Nicolas,GER,GK,26,1997,19,19,1639,18.2,25,1.37,92,69,78.3,9,4,6,4,21.1,5,5,0,0,0.0
GER-Bundesliga,2425,Gladbach,Tiago Cardoso,LUX,GK,18,2006,5,4,380,4.2,3,0.71,23,20,87.0,2,1,1,2,50.0,0,0,0,0,
GER-Bundesliga,2425,Gladbach,Tobias Sippel,GER,GK,36,1988,1,0,59,0.7,3,4.58,4,1,25.0,0,0,0,0,,0,0,0,0,
GER-Bundesliga,2425,Heidenheim,Frank Feller,GER,GK,20,2004,2,1,121,1.3,0,0.0,2,2,100.0,1,0,0,2,200.0,0,0,0,0,
GER-Bundesliga,2425,Heidenheim,Kevin Müller,GER,GK,33,1991,33,33,2939,32.7,64,1.96,169,105,65.7,7,5,21,7,21.2,6,6,0,0,0.0
GER-Bundesliga,2425,Hoffenheim,Luca Philipp,GER,GK,23,2000,6,6,540,6.0,15,2.5,35,21,60.0,1,3,2,0,0.0,1,1,0,0,0.0
GER-Bundesliga,2425,Hoffenheim,Oliver Baumann,GER,GK,34,1990,28,28,2520,28.0,53,1.89,138,84,63.0,6,8,14,4,14.3,5,2,3,0,60.0
GER-Bundesliga,2425,Holstein Kiel,Thomas Dähne,GER,GK,30,1994,9,9,810,9.0,19,2.11,55,36,69.1,2,2,5,0,0.0,3,2,1,0,33.3
GER-Bundesliga,2425,Holstein Kiel,Timon Weiner,GER,GK,25,1999,25,25,2250,25.0,61,2.44,140,81,59.3,4,5,16,2,8.0,4,4,0,0,0.0
GER-Bundesliga,2425,Leverkusen,Lukáš Hrádecký,FIN,GK,34,1989,29,29,2610,29.0,38,1.31,118,83,71.2,16,11,2,6,20.7,4,4,0,0,0.0
GER-Bundesliga,2425,Leverkusen,Matej Kovar,CZE,GK,24,2000,5,5,450,5.0,5,1.0,16,12,68.8,3,1,1,3,60.0,0,0,0,0,
GER-Bundesliga,2425,Mainz 05,Lasse Rieß,GER,GK,23,2001,2,2,180,2.0,2,1.0,8,6,75.0,1,1,0,0,0.0,0,0,0,0,
GER-Bundesliga,2425,Mainz 05,Robin Zentner,GER,GK,29,1994,32,32,2880,32.0,41,1.28,142,100,73.9,13,9,10,9,28.1,5,4,1,0,20.0
GER-Bundesliga,2425,RB Leipzig,Maarten Vandevoordt,BEL,GK,22,2002,6,4,429,4.8,9,1.89,21,12,57.1,1,1,2,0,0.0,0,0,0,0,
GER-Bundesliga,2425,RB Leipzig,Péter Gulácsi,HUN,GK,34,1990,30,30,2631,29.2,39,1.33,137,97,73.0,12,11,7,14,46.7,3,2,1,0,33.3
GER-Bundesliga,2425,St. Pauli,Ben Alexander Voll,GER,GK,23,2000,2,1,91,1.0,2,1.98,5,3,60.0,0,1,0,0,0.0,0,0,0,0,
GER-Bundesliga,2425,St. Pauli,Nikola Vasilj,BIH,GK,28,1995,33,33,2969,33.0,39,1.18,135,93,71.9,8,7,18,9,27.3,5,1,4,0,80.0
GER-Bundesliga,2425,Stuttgart,Alexander Nübel,GER,GK,27,1996,34,34,3060,34.0,53,1.56,136,83,62.5,14,8,12,7,20.6,3,2,1,0,33.3
GER-Bundesliga,2425,Union Berlin,Alexander Schwolow,GER,GK,32,1992,6,6,540,6.0,13,2.17,28,15,57.1,2,0,4,0,0.0,1,1,0,0,0.0
GER-Bundesliga,2425,Union Berlin,Frederik Rønnow,DEN,GK,31,1992,28,28,2520,28.0,37,1.32,111,71,67.6,8,11,9,8,28.6,5,1,4,0,80.0
GER-Bundesliga,2425,Werder Bremen,Michael Zetterer,GER,GK,29,1995,34,34,3060,34.0,57,1.68,156,102,65.4,14,9,11,10,29.4,3,3,0,0,0.0
GER-Bundesliga,2425,Wolfsburg,Kamil Grabara,POL,GK,25,1999,29,29,2585,28.7,49,1.71,137,88,65.7,9,7,13,5,17.2,3,2,1,0,33.3
GER-Bundesliga,2425,Wolfsburg,Marius Müller,GER,GK,31,1993,6,5,475,5.3,5,0.95,23,18,78.3,2,3,0,1,20.0,0,0,0,0,
ITA-Serie A,2425,Atalanta,Juan Musso,ARG,GK,30,1994,1,1,90,1.0,0,0.0,4,4,100.0,1,0,0,1,100.0,0,0,0,0,
ITA-Serie A,2425,Atalanta,Marco Carnesecchi,ITA,GK,24,2000,34,34,3060,34.0,34,1.0,129,97,75.2,19,7,8,13,38.2,2,2,0,0,0.0
ITA-Serie A,2425,Atalanta,Rui Patrício,POR,GK,36,1988,3,3,270,3.0,3,1.0,14,11,78.6,2,1,0,1,33.3,0,0,0,0,
ITA-Serie A,2425,Bologna,Federico Ravaglia,ITA,GK,24,1999,12,11,1056,11.7,14,1.19,24,10,45.8,5,2,4,4,36.4,1,1,0,0,0.0
ITA-Serie A,2425,Bologna,Łukasz Skorupski,POL,GK,33,1991,27,27,2364,26.3,33,1.26,82,50,61.0,11,12,4,8,29.6,2,1,1,0,50.0
ITA-Serie A,2425,Cagliari,Alen Sherri,ALB,GK,26,1997,7,7,621,6.9,11,1.59,31,20,64.5,1,2,4,1,14.3,0,0,0,0,
ITA-Serie A,2425,Cagliari,Elia Caprile,ITA,GK,22,2001,18,18,1620,18.0,22,1.22,66,44,68.2,5,4,9,5,27.8,1,1,0,0,0.0
ITA-Serie A,2425,Cagliari,Giuseppe Ciocci,ITA,GK,22,2002,1,0,9,0.1,0,0.0,0,0,,0,0,0,0,,0,0,0,0,
ITA-Serie A,2425,Cagliari,Simone Scuffet,ITA,GK,28,1996,13,13,1170,13.0,23,1.77,56,33,67.9,3,3,7,1,7.7,5,5,0,0,0.0
ITA-Serie A,2425,Como,Emil Audero,IDN,GK,27,1997,8,8,720,8.0,18,2.25,34,16,58.8,2,2,4,0,0.0,4,4,0,0,0.0
ITA-Serie A,2425,Como,Jean Butez,FRA,GK,29,1995,19,18,1666,18.5,20,1.08,68,48,73.5,8,4,6,5,27.8,2,2,0,0,0.0
ITA-Serie A,2425,Como,Pepe Reina,ESP,GK,41,1982,12,12,1034,11.5,14,1.22,41,27,68.3,3,4,5,2,16.7,1,1,0,0,0.0
ITA-Serie A,2425,Empoli,Devis Vásquez,COL,GK,26,1998,32,32,2880,32.0,45,1.41,125,79,64.8,6,12,14,6,18.8,3,1,1,1,50.0
ITA-Serie A,2425,Empoli,Jacopo Seghetti,ITA,GK,19,2005,1,1,90,1.0,3,3.0,6,3,50.0,0,0,1,0,0.0,0,0,0,0,
ITA-Serie A,2425,Empoli,Marco Silvestri,ITA,GK,33,1991,5,5,450,5.0,11,2.2,27,17,59.3,0,1,4,0,0.0,0,0,0,0,
ITA-Serie A,2425,Fiorentina,David de Gea,ESP,GK,33,1990,34,34,3060,34.0,38,1.12,133,94,72.2,18,5,11,10,29.4,3,1,2,0,66.7
ITA-Serie A,2425,Fiorentina,Pietro Terracciano,ITA,GK,34,1990,3,3,270,3.0,3,1.0,13,10,76.9,0,3,0,1,33.3,0,0,0,0,
ITA-Serie A,2425,Genoa,Benjamin Siegrist,SUI,GK,32,1992,2,2,152,1.7,2,1.18,12,10,83.3,1,1,0,0,0.0,0,0,0,0,
ITA-Serie A,2425,Genoa,Daniele Sommariva,ITA,GK,27,1997,1,0,28,0.3,1,3.21,3,2,66.7,0,0,0,0,,0,0,0,0,
ITA-Serie A,2425,Genoa,Nicola Leali,ITA,GK,31,1993,29,29,2610,29.0,31,1.07,111,82,74.8,8,10,11,10,34.5,4,3,1,0,25.0
ITA-Serie A,2425,Genoa,Pierluigi Gollini,ITA,GK,29,1995,7,7,630,7.0,15,2.14,32,16,62.5,1,2,4,1,14.3,4,3,1,0,25.0
ITA-Serie A,2425,Hellas Verona,Lorenzo Montipò,ITA,GK,28,1996,36,36,3240,36.0,64,1.78,161,97,61.5,9,7,20,8,22.2,4,2,1,1,33.3
ITA-Serie A,2425,Hellas Verona,Simone Perilli,ITA,GK,29,1995,2,2,180,2.0,2,1.0,11,9,81.8,1,0,1,0,0.0,0,0,0,0,
